Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
Number of 'Queued + Awaiting Assignment' that are followed by 'Completed + Resolved',Percentage of 'Queued + Awaiting Assignment' out of all 'Completed + Resolved',0.8,
Percentage of 'Queued + Awaiting Assignment' out of all 'Accepted + In Progress',Percentage of 'Queued + Awaiting Assignment' out of all 'Accepted + In Progress',0.6,
Average number of 'Queued + Awaiting Assignment' in a month,"ERROR: computing metric {'count': ""activity == 'Queued + Awaiting Assignment'"", 'aggregation': 'average', 'group_by': 'month'}",,
'Queued + Awaiting Assignment' frequency compared to 'Completed + In Call' frequency,Percentage of 'Queued + Awaiting Assignment' out of all 'Completed + In Call',0.03,
Percentage of 'Queued + Awaiting Assignment' that are preceded by 'Completed + In Call',Percentage of 'Queued + Awaiting Assignment' out of all 'Completed + In Call',0.03,
Total 'Queued + Awaiting Assignment' done by 'RESOURCE',"ERROR: computing metric {'count': ""activity == 'Queued + Awaiting Assignment'"", 'aggregation': 'total', 'filter': 'org:resource'}",,
Percentage of 'Queued + Awaiting Assignment' before 'Completed + Resolved',Percentage of 'Queued + Awaiting Assignment' out of all 'Completed + Resolved',0.8,
Number of 'Queued + Awaiting Assignment' in relation to 'Completed + Resolved',Number of 'Queued + Awaiting Assignment' activities for cases where activity 'Completed + Resolved' occurs,10761,
Percentage of 'Queued + Awaiting Assignment' made in the first half of the year,Percentage of 'Queued + Awaiting Assignment' out of all cases,0.6,
Percentage of 'Queued + Awaiting Assignment' done in 'France',Percentage of 'Queued + Awaiting Assignment' out of all cases,0.14,
The number of times 'Queued + Awaiting Assignment' is performed in relation to 'Accepted + In Progress',Number of 'Queued + Awaiting Assignment' activities for cases where activity 'Accepted + In Progress' occurs,10761,
Percentage of 'Queued + Awaiting Assignment' with an average time over 100 minutes,the average of the function base > 100 where base is the number of times `ACTIVITY` == 'Queued + Awaiting Assignment',0.0,
Ratio of 'Queued + Awaiting Assignment' over 'Unmatched + Unmatched',Percentage of 'Queued + Awaiting Assignment' out of all 'Unmatched + Unmatched',0.4,
Percentage of 'Queued + Awaiting Assignment' from all 'Completed + Resolved',Percentage of 'Queued + Awaiting Assignment' out of all 'Completed + Resolved',0.8,
Total 'Queued + Awaiting Assignment' performed in incidents with high priority,Number of 'Queued + Awaiting Assignment' activities == 'high' where ma is the last value of impact,,
Percentage of 'Queued + Awaiting Assignment' with appeal compared to percentage of 'Accepted + In Progress' with appeal,Percentage of 'Queued + Awaiting Assignment' out of all 'Accepted + In Progress',0.6,
'Queued + Awaiting Assignment' in comparison to 'Queued + Awaiting Assignment' followed by 'Completed + Resolved' and 'Queued + Awaiting Assignment' that are preceded by 'Completed + Resolved',Percentage of 'Queued + Awaiting Assignment' out of all 'Completed + Resolved',0.8,
Percentage of 'Queued + Awaiting Assignment' not followed by 'Completed + Resolved',Percentage of 'Queued + Awaiting Assignment' out of all cases where 'Completed + Resolved' does not happen,0.6,
Percentage of 'Queued + Awaiting Assignment' followed by 'Queued + Awaiting Assignment',Percentage of 'Queued + Awaiting Assignment' out of all 'Queued + Awaiting Assignment',1.0,
Number of 'Queued + Awaiting Assignment' in relation to 'Completed + Closed',Number of 'Queued + Awaiting Assignment' activities for cases where activity 'Completed + Closed' occurs,10675,
Average number of times 'Queued + Awaiting Assignment' is performed after 'Completed + Resolved',Percentage of 'Queued + Awaiting Assignment' out of all 'Completed + Resolved',0.8,
Percentage of 'Queued + Awaiting Assignment' that are in 'France',Percentage of 'Queued + Awaiting Assignment' out of all cases,0.14,
Percentage of 'Queued + Awaiting Assignment' made by a specific resource,"ERROR: computing metric {'count': ""activity == 'Queued + Awaiting Assignment'"", 'metric_condition': '> 0', 'aggregation': 'percentage', 'filter': 'org:resource'}",,
Percentage of 'Queued + Awaiting Assignment' in relation to 'Completed + Cancelled',Percentage of 'Queued + Awaiting Assignment' out of all 'Completed + Cancelled',0.0,
Percentage of 'Queued + Awaiting Assignment' made in incidents with low priority,Percentage of 'Queued + Awaiting Assignment' out of all cases,,
Number of 'Queued + Awaiting Assignment' in relation to 'Accepted + Wait - User',Number of 'Queued + Awaiting Assignment' activities for cases where activity 'Accepted + Wait - User' occurs,6183,
Percentage of 'Queued + Awaiting Assignment' with penalty,"ERROR: computing metric {'count': ""activity == 'Queued + Awaiting Assignment'"", 'metric_condition': '> 0', 'aggregation': 'percentage', 'filter': 'penalty'}",,
