Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
Average resolution time following 'Accepted + Wait - Customer',The average of the duration between activity Accepted + Wait - Customer and the end of the case,16 days 06:50:39.465116,
Average time from 'Accepted + Wait - Customer' to 'Completed + In Call',The average of the duration between activity 'Accepted + Wait - Customer' and activity 'Completed + In Call',0 days 00:15:32,
Total time spent in 'Accepted + Wait - Customer' across all cases,The sum of the duration between activity Accepted + Wait - Customer and the end of the case,1400 days 12:36:34,
Average time from 'Accepted + Wait - Customer' to 'Accepted + In Progress',The average of the duration between activity 'Accepted + Wait - Customer' and activity 'Accepted + In Progress',12 days 02:18:14.523810,
Total resolution time of cases starting with 'Accepted + Wait - Customer',The sum of the duration between activity Accepted + Wait - Customer and the end of the case,1400 days 12:36:34,
Minimum time from 'Accepted + Wait - Customer' to 'Completed + Resolved',The minimum of the duration between activity 'Accepted + Wait - Customer' and activity 'Completed + Resolved',0 days 00:01:16,
Average time from 'Accepted + Wait - Customer' to the next activity,The average of the duration between activity Accepted + Wait - Customer and the end of the case,16 days 06:50:39.465116,
Total time from 'Accepted + Wait - Customer' to 'Completed + Closed',The sum of the duration between activity 'Accepted + Wait - Customer' and activity 'Completed + Closed',1392 days 12:31:13,
Minimum time from 'Accepted + Wait - Customer' to 'Queued + Awaiting Assignment',The minimum of the duration between activity 'Accepted + Wait - Customer' and activity 'Queued + Awaiting Assignment',0 days 00:07:27,
Average time from 'Accepted + Wait - Customer' to 'Accepted + Wait - Vendor',The average of the duration between activity 'Accepted + Wait - Customer' and activity 'Accepted + Wait - Vendor',3 days 15:30:23,
Total time from 'Accepted + Wait - Customer' to 'Accepted + Assigned',The sum of the duration between activity 'Accepted + Wait - Customer' and activity 'Accepted + Assigned',139 days 18:28:08,
Average time from 'Accepted + Wait - Customer' to 'Accepted + Wait - User',The average of the duration between activity 'Accepted + Wait - Customer' and activity 'Accepted + Wait - User',6 days 21:47:31.315789,
Cycle Time of 'Accepted + Wait - Customer',The sum of the duration between activity Accepted + Wait - Customer and the end of the case,1400 days 12:36:34,
Average time from 'Accepted + Wait - Customer' to 'Completed + In Call' considering cases with high impact,The average of the duration between activity 'Accepted + Wait - Customer' and activity 'Completed + In Call',,
Total time from 'Accepted + Wait - Customer' to 'Completed + In Call' in incidents related to PROD582,The sum of the duration between activity 'Accepted + Wait - Customer' and activity 'Completed + In Call',,
Average time from 'Accepted + Wait - Customer' to 'Completed + In Call' in the context of the VINST system,The average of the duration between activity 'Accepted + Wait - Customer' and activity 'Completed + In Call',,
Minimum time from 'Accepted + Wait - Customer' to 'Completed + In Call' for high priority cases,The minimum of the duration between activity 'Accepted + Wait - Customer' and activity 'Completed + In Call',,
