Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
Percentage of 'Unmatched + Unmatched' before 'Completed + In Call',"ERROR: computing metric {'count': 'activity == Unmatched + Unmatched', 'metric_condition': '> 0', 'aggregation': 'percentage', 'filter': 'activity == Completed + In Call'}",,
Percentage of 'Unmatched + Unmatched' out of all 'Completed + Resolved',"ERROR: computing metric {'count': 'activity == Unmatched + Unmatched', 'metric_condition': '> 0', 'aggregation': 'percentage', 'filter': 'activity == Completed + Resolved'}",,
Number of 'Unmatched + Unmatched' that are preceded by 'Queued + Awaiting Assignment',"ERROR: computing metric {'count': 'activity == Unmatched + Unmatched', 'aggregation': 'total', 'filter': 'preceding_activity == Queued + Awaiting Assignment'}",,
Percentage of 'Unmatched + Unmatched' by 'France' and 'USA',"ERROR: computing metric {'count': 'activity == Unmatched + Unmatched', 'metric_condition': '> 0', 'aggregation': 'percentage', 'filter': 'resource country == France, USA'}",,
Number of 'Unmatched + Unmatched' made per year,"ERROR: computing metric {'count': 'activity == Unmatched + Unmatched', 'aggregation': 'total', 'group_by': 'year'}",,
Percentage of 'Unmatched + Unmatched' in the process variant 'Accepted + In Progress -> Accepted + In Progress -> Completed + In Call',"ERROR: computing metric {'count': 'activity == Unmatched + Unmatched', 'metric_condition': '> 0', 'aggregation': 'percentage', 'filter': 'activity == Accepted + In Progress -> Accepted + In Progress -> Completed + In Call'}",,
Average number of 'Unmatched + Unmatched' per month,"ERROR: computing metric {'count': 'activity == Unmatched + Unmatched', 'aggregation': 'average', 'group_by': 'month'}",,
Percentage of 'Unmatched + Unmatched' with appeal in the incident and problem management system VINST,"ERROR: computing metric {'count': 'activity == Unmatched + Unmatched', 'metric_condition': '> 0', 'aggregation': 'percentage', 'filter': 'impact == VINST'}",,
Fraction of 'Unmatched + Unmatched' that are followed by 'Completed + Resolved' and 'Completed + Closed',"ERROR: computing metric {'count': 'activity == Unmatched + Unmatched', 'aggregation': 'percentage', 'filter': 'following_activity == Completed + Resolved, Completed + Closed'}",,
Percentage of 'Unmatched + Unmatched' compared to 'Completed + In Call' in terms of frequency,"ERROR: computing metric {'count': 'activity == Unmatched + Unmatched', 'metric_condition': '> 0', 'aggregation': 'percentage', 'filter': 'activity == Completed + In Call'}",,
The ratio of 'Unmatched + Unmatched' over 'Completed + In Call' in the process variant 'Accepted + In Progress -> Accepted + In Progress -> Completed + In Call',"ERROR: computing metric {'count': 'activity == Unmatched + Unmatched', 'metric_condition': '> 0', 'aggregation': 'percentage', 'filter': 'activity == Accepted + In Progress -> Accepted + In Progress -> Completed + In Call, Completed + In Call'}",,
Number of times 'Unmatched + Unmatched' is performed in the process variant 'Accepted + In Progress -> Accepted + In Progress -> Completed + In Call',"ERROR: computing metric {'count': 'activity == Unmatched + Unmatched', 'aggregation': 'total', 'filter': 'activity == Accepted + In Progress -> Accepted + In Progress -> Completed + In Call'}",,
Percentage of 'Unmatched + Unmatched' done after 'Queued + Awaiting Assignment',"ERROR: computing metric {'count': 'activity == Unmatched + Unmatched', 'metric_condition': '> 0', 'aggregation': 'percentage', 'filter': 'preceding_activity == Queued + Awaiting Assignment'}",,
Percentage of 'Unmatched + Unmatched' out of all 'Completed + Resolved' and 'Completed + Closed' combined,"ERROR: computing metric {'count': 'activity == Unmatched + Unmatched', 'metric_condition': '> 0', 'aggregation': 'percentage', 'filter': 'activity == Completed + Resolved, Completed + Closed'}",,
Average number of 'Unmatched + Unmatched' that are followed by 'Completed + Resolved',"ERROR: computing metric {'count': 'activity == Unmatched + Unmatched', 'aggregation': 'average', 'filter': 'following_activity == Completed + Resolved'}",,
Percentage of 'Unmatched + Unmatched' that are part of process variants with high performance values,"ERROR: computing metric {'count': 'activity == Unmatched + Unmatched', 'metric_condition': '> 0', 'aggregation': 'percentage', 'filter': 'performance_value == high'}",,
Percentage of 'Unmatched + Unmatched' with an increment in the incident and problem management system VINST,"ERROR: computing metric {'count': 'activity == Unmatched + Unmatched', 'metric_condition': '> 0', 'aggregation': 'percentage', 'filter': 'impact == VINST'}",,
Fraction of 'Unmatched + Unmatched' that are eventually followed by 'Completed + In Call',"ERROR: computing metric {'count': 'activity == Unmatched + Unmatched', 'aggregation': 'percentage', 'filter': 'following_activity == Completed + In Call'}",,
Number of 'Unmatched + Unmatched' in relation to 'Queued + Awaiting Assignment' in the process variant 'Accepted + In Progress -> Accepted + In Progress -> Completed + In Call',"ERROR: computing metric {'count': 'activity == Unmatched + Unmatched', 'aggregation': 'total', 'filter': 'activity == Accepted + In Progress -> Accepted + In Progress -> Completed + In Call, preceding_activity == Queued + Awaiting Assignment'}",,
Percentage of 'Unmatched + Unmatched' that are part of process variants with low frequency values,"ERROR: computing metric {'count': 'activity == Unmatched + Unmatched', 'metric_condition': '> 0', 'aggregation': 'percentage', 'filter': 'frequency_value == low'}",,
Percentage of 'Unmatched + Unmatched' in the process variant 'Accepted + In Progress -> Accepted + In Progress -> Queued + Awaiting Assignment -> Accepted + In Progress -> Completed + Resolved -> Completed + Closed',"ERROR: computing metric {'count': 'activity == Unmatched + Unmatched', 'metric_condition': '> 0', 'aggregation': 'percentage', 'filter': 'activity == Accepted + In Progress -> Accepted + In Progress -> Queued + Awaiting Assignment -> Accepted + In Progress -> Completed + Resolved -> Completed + Closed'}",,
Average number of 'Unmatched + Unmatched' in the process variant 'Accepted + In Progress -> Accepted + In Progress -> Queued + Awaiting Assignment -> Accepted + In Progress -> Completed + Resolved -> Completed + Closed',"ERROR: computing metric {'count': 'activity == Unmatched + Unmatched', 'aggregation': 'average', 'filter': 'activity == Accepted + In Progress -> Accepted + In Progress -> Queued + Awaiting Assignment -> Accepted + In Progress -> Completed + Resolved -> Completed + Closed'}",,
Percentage of 'Unmatched + Unmatched' compared to 'Accepted + In Progress' in terms of frequency,"ERROR: computing metric {'count': 'activity == Unmatched + Unmatched', 'metric_condition': '> 0', 'aggregation': 'percentage', 'filter': 'activity == Accepted + In Progress'}",,
Percentage of 'Unmatched + Unmatched' with penalty in the incident and problem management system VINST,"ERROR: computing metric {'count': 'activity == Unmatched + Unmatched', 'metric_condition': '> 0', 'aggregation': 'percentage', 'filter': 'impact == VINST'}",,
Percentage of 'Unmatched + Unmatched' by worker of 'France',"ERROR: computing metric {'count': 'activity == Unmatched + Unmatched', 'metric_condition': '> 0', 'aggregation': 'percentage', 'filter': 'resource country == France'}",,
Percentage of 'Unmatched + Unmatched' by 'USA' and 'Brazil',"ERROR: computing metric {'count': 'activity == Unmatched + Unmatched', 'metric_condition': '> 0', 'aggregation': 'percentage', 'filter': 'resource country == USA, Brazil'}",,
Fraction of 'Unmatched + Unmatched' that are dismissed in the incident and problem management system VINST,"ERROR: computing metric {'count': 'activity == Unmatched + Unmatched', 'aggregation': 'percentage', 'filter': 'impact == VINST'}",,
Number of 'Unmatched + Unmatched' grouped by 'resource' in 'France',"ERROR: computing metric {'count': 'activity == Unmatched + Unmatched', 'aggregation': 'total', 'group_by': 'resource country == France'}",,
Percentage of 'Unmatched + Unmatched' out of all 'Queued + Awaiting Assignment' combined,"ERROR: computing metric {'count': 'activity == Unmatched + Unmatched', 'metric_condition': '> 0', 'aggregation': 'percentage', 'filter': 'activity == Queued + Awaiting Assignment'}",,
Average number of 'Unmatched + Unmatched' in the process variant 'Queued + Awaiting Assignment -> Accepted + In Progress -> Completed + Resolved -> Completed + Closed',"ERROR: computing metric {'count': 'activity == Unmatched + Unmatched', 'aggregation': 'average', 'filter': 'activity == Queued + Awaiting Assignment -> Accepted + In Progress -> Completed + Resolved -> Completed + Closed'}",,
