Name;Metric;Value;Agrupation
Frequency of Declaration REJECTED by ADMINISTRATION in variants that eventually lead to a successful Payment Handled;Percentage of 'Declaration REJECTED by ADMINISTRATION' out of all 'Payment Handled';0.06;
Percentage of cases where Declaration REJECTED by ADMINISTRATION is immediately followed by Declaration REJECTED by EMPLOYEE;Percentage of 'Declaration REJECTED by ADMINISTRATION' out of all cases;0.08;
Number of Declaration REJECTED by ADMINISTRATION occurrences that appear in re-submission loops (i.e., followed later in the same case by another Declaration SUBMITTED by EMPLOYEE);Number of 'Declaration REJECTED by ADMINISTRATION' activities for cases where activity 'Declaration SUBMITTED by EMPLOYEE' occurs;952.0;
Percentage of Declaration REJECTED by ADMINISTRATION relative to the total number of Declaration SUBMITTED by EMPLOYEE events;Percentage of 'Declaration REJECTED by ADMINISTRATION' out of all 'Declaration SUBMITTED by EMPLOYEE';0.08;
Frequency of Declaration REJECTED by ADMINISTRATION in variants involving more than one rejection cycle before final approval;Percentage of 'Declaration REJECTED by ADMINISTRATION' out of all cases;0.08;
Percentage of Declaration REJECTED by ADMINISTRATION that occur in cases with Amount above 100 euros;Percentage of 'Declaration REJECTED by ADMINISTRATION' out of all cases;0.12;
Ratio of Declaration REJECTED by ADMINISTRATION to Declaration APPROVED by ADMINISTRATION;Percentage of 'Declaration REJECTED by ADMINISTRATION' out of all 'Declaration APPROVED by ADMINISTRATION';0.08;
Percentage of all process variants that contain at least one Declaration REJECTED by ADMINISTRATION;Percentage of 'Declaration REJECTED by ADMINISTRATION' out of all cases;0.08;
Percentage of Declaration REJECTED by ADMINISTRATION that are not followed by any further activity (i.e., terminal rejections);Percentage of 'Declaration REJECTED by ADMINISTRATION' out of all cases;0.08;
Percentage of Declaration REJECTED by ADMINISTRATION that occur before any approval step (e.g., before Declaration APPROVED by ADMINISTRATION or Declaration APPROVED by PRE_APPROVER);Percentage of 'Declaration REJECTED by ADMINISTRATION' out of all cases;0.08;
Number of times Declaration REJECTED by ADMINISTRATION appears in the same case more than once;Number of 'Declaration REJECTED by ADMINISTRATION' activities;952.0;
Percentage of Declaration REJECTED by ADMINISTRATION that directly precede a re-submission (Declaration SUBMITTED by EMPLOYEE) within the same case;Percentage of 'Declaration REJECTED by ADMINISTRATION' out of all 'Declaration SUBMITTED by EMPLOYEE';0.08;
Number of Declaration REJECTED by ADMINISTRATION events per year (2017 vs 2018);Number of 'Declaration REJECTED by ADMINISTRATION' activities;952.0;
Frequency of Declaration REJECTED by ADMINISTRATION in cases that originate from the 2017 departments versus the full university in 2018;Number of 'Declaration REJECTED by ADMINISTRATION' activities;952.0;
Percentage of Declaration REJECTED by ADMINISTRATION out of all rejection activities (including Declaration REJECTED by EMPLOYEE, Declaration REJECTED by SUPERVISOR, Declaration REJECTED by PRE_APPROVER, Declaration REJECTED by BUDGET OWNER, and Declaration REJECTED by MISSING);"ERROR: computing metric {'count': activity == 'Declaration REJECTED by ADMINISTRATION'"", 'metric_condition': '> 0', 'aggregation': 'percentage', 'filter': ""activity in ['Declaration REJECTED by ADMINISTRATION', 'Declaration REJECTED by EMPLOYEE', 'Declaration REJECTED by SUPERVISOR', 'Declaration REJECTED by PRE_APPROVER', 'Declaration REJECTED by BUDGET OWNER', 'Declaration REJECTED by MISSING']""}""";;
