Name;Metric;Value;Agrupation
Average time for Declaration REJECTED by ADMINISTRATION;The average of the duration between activity Declaration REJECTED by ADMINISTRATION and the end of the case;13.85 days;
Total time for Declaration REJECTED by ADMINISTRATION;The sum of the duration between activity Declaration REJECTED by ADMINISTRATION and the end of the case;11718.52 days;
Minimum time for Declaration REJECTED by ADMINISTRATION;The minimum of the duration between activity Declaration REJECTED by ADMINISTRATION and the end of the case;0.00 seconds;
Average time from Declaration SUBMITTED by EMPLOYEE to Declaration REJECTED by ADMINISTRATION;The average of the duration between activity 'Declaration SUBMITTED by EMPLOYEE' and activity 'Declaration REJECTED by ADMINISTRATION';8.33 days;
Total time from Declaration SUBMITTED by EMPLOYEE to Declaration REJECTED by ADMINISTRATION;The sum of the duration between activity 'Declaration SUBMITTED by EMPLOYEE' and activity 'Declaration REJECTED by ADMINISTRATION';7047.80 days;
Minimum time from Declaration SUBMITTED by EMPLOYEE to Declaration REJECTED by ADMINISTRATION;The minimum of the duration between activity 'Declaration SUBMITTED by EMPLOYEE' and activity 'Declaration REJECTED by ADMINISTRATION';1.00 seconds;
Average time between Declaration REJECTED by ADMINISTRATION and Declaration REJECTED by EMPLOYEE;The average of the duration between activity 'Declaration REJECTED by ADMINISTRATION' and activity 'Declaration REJECTED by EMPLOYEE';3.58 days;
Total time between Declaration REJECTED by ADMINISTRATION and Declaration REJECTED by EMPLOYEE;The sum of the duration between activity 'Declaration REJECTED by ADMINISTRATION' and activity 'Declaration REJECTED by EMPLOYEE';3008.29 days;
Minimum time between Declaration REJECTED by ADMINISTRATION and Declaration REJECTED by EMPLOYEE;The minimum of the duration between activity 'Declaration REJECTED by ADMINISTRATION' and activity 'Declaration REJECTED by EMPLOYEE';1.20 minutes;
Average time until Declaration REJECTED by ADMINISTRATION is performed;The average of the duration between the start of the case and activity 'Declaration REJECTED by ADMINISTRATION';8.33 days;
Total time until Declaration REJECTED by ADMINISTRATION is performed;The sum of the duration between the start of the case and activity 'Declaration REJECTED by ADMINISTRATION';7047.80 days;
Minimum time until Declaration REJECTED by ADMINISTRATION is performed;The minimum of the duration between the start of the case and activity 'Declaration REJECTED by ADMINISTRATION';1.00 seconds;
Average time for Declaration REJECTED by ADMINISTRATION compared to Declaration APPROVED by ADMINISTRATION;The average of the duration between activity 'Declaration REJECTED by ADMINISTRATION' and the end of case where activity 'Declaration APPROVED by ADMINISTRATION occurs;16.79 days;
Average time from Declaration SUBMITTED by EMPLOYEE to Declaration REJECTED by ADMINISTRATION compared to Declaration APPROVED by ADMINISTRATION;The average of the duration between activity 'Declaration SUBMITTED by EMPLOYEE' and activity 'Declaration REJECTED by ADMINISTRATION';7.34 days;
Average time between Declaration REJECTED by ADMINISTRATION and Declaration REJECTED by EMPLOYEE compared to Declaration APPROVED by ADMINISTRATION and Declaration APPROVED by BUDGET OWNER;The average of the duration between activity 'Declaration REJECTED by ADMINISTRATION' and activity 'Declaration REJECTED by EMPLOYEE';3.41 days;
Average time for Declaration REJECTED by ADMINISTRATION in variants with rework cycles;The average of the duration between activity 'Declaration REJECTED by ADMINISTRATION' and the end of case where activity 'Declaration REJECTED by EMPLOYEE occurs;13.93 days;
Total time for Declaration REJECTED by ADMINISTRATION in variants with multiple rejections;The sum of the duration between activity 'Declaration REJECTED by ADMINISTRATION' and the end of case where activity 'Declaration REJECTED by EMPLOYEE occurs;11718.52 days;
Average time from Declaration SUBMITTED by EMPLOYEE to Declaration REJECTED by ADMINISTRATION in variants ending with payment;The average of the duration between activity 'Declaration SUBMITTED by EMPLOYEE' and activity 'Declaration REJECTED by ADMINISTRATION';6.71 days;
Average time for Declaration REJECTED by ADMINISTRATION in domestic trip claims;The average of the duration between activity Declaration REJECTED by ADMINISTRATION and the end of the case;17.05 days;
Total time for Declaration REJECTED by ADMINISTRATION in pre-paid travel cost processes;The sum of the duration between activity Declaration REJECTED by ADMINISTRATION and the end of the case;10862.50 days;
Average time reduction potential for Declaration REJECTED by ADMINISTRATION;The average of the duration between activity Declaration REJECTED by ADMINISTRATION and the end of the case;13.85 days;
Minimum achievable time for Declaration REJECTED by ADMINISTRATION;The minimum of the duration between activity Declaration REJECTED by ADMINISTRATION and the end of the case;0.00 seconds;
Average time for Declaration REJECTED by ADMINISTRATION affecting total process duration;The average of the duration between activity Declaration REJECTED by ADMINISTRATION and the end of the case;13.85 days;
Total time impact of Declaration REJECTED by ADMINISTRATION on process completion;The sum of the duration between activity Declaration REJECTED by ADMINISTRATION and the end of the case;11718.52 days;
Average time for Declaration REJECTED by ADMINISTRATION in different departments;The average of the duration between activity 'Declaration REJECTED by ADMINISTRATION' and the end of case grouped by the last value of org:role;ADMINISTRATION:0.00 seconds;"{""ADMINISTRATION"":0,""EMPLOYEE"":362550289,""MISSING"":null,""SUPERVISOR"":180348000,""UNDEFINED"":1475376433}"
