Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
Frequency of 'Accepted + Wait - Vendor' compared to 'Accepted + In Progress',Frequency of activity 'Accepted + Wait - Vendor' for cases where activity 'Accepted + In Progress' occurs,248,
Percentage of cases involving 'Accepted + Wait - Vendor' out of all cases,Percentage of 'Accepted + Wait - Vendor' out of all cases,0.03,
Frequency of 'Accepted + Wait - Vendor' leading to 'Completed + Resolved',Frequency of activity 'Accepted + Wait - Vendor' for cases where activity 'Completed + Resolved' occurs,249,
Percentage of 'Accepted + Wait - Vendor' followed by 'Accepted + In Progress',Percentage of 'Accepted + Wait - Vendor' out of all 'Accepted + In Progress',0.03,
Number of times 'Accepted + Wait - Vendor' occurs in the most frequent variant,Frequency of activity 'Accepted + Wait - Vendor',249,
Frequency of 'Accepted + Wait - Vendor' in relation to 'Accepted + Wait - User',Frequency of activity 'Accepted + Wait - Vendor' for cases where activity 'Accepted + Wait - User' occurs,106,
Percentage of 'Accepted + Wait - Vendor' that lead to 'Completed + Closed' within 30 days,Percentage of 'Accepted + Wait - Vendor' out of all 'Completed + Closed',0.04,
Number of 'Accepted + Wait - Vendor' activities performed by the top 5 resources,"ERROR: computing metric {'count': ""activity == 'Accepted + Wait - Vendor'"", 'metric_condition': '> 0', 'aggregation': 'total', 'filter': 'org:resource < 5'}",,
Percentage of 'Accepted + Wait - Vendor' in cases with a high impact product,Percentage of 'Accepted + Wait - Vendor' out of all cases,,
Frequency of 'Accepted + Wait - Vendor' in cases exceeding average performance time,Frequency of activity 'Accepted + Wait - Vendor',249,
Percentage of 'Accepted + Wait - Vendor' followed by any 'Completed' activity,"ERROR: computing metric {'count': ""activity == 'Accepted + Wait - Vendor'"", 'metric_condition': '> 0', 'aggregation': 'percentage', 'filter': ""activity == 'Completed + Resolved' or activity == 'Completed + Closed' or activity == 'Completed + In Call' or activity == 'Completed + Cancelled'""}",,
Number of 'Accepted + Wait - Vendor' activities grouped by month,"ERROR: computing metric {'count': ""activity == 'Accepted + Wait - Vendor'"", 'metric_condition': '> 0', 'aggregation': 'total', 'group_by': 'month'}",,
Percentage of 'Accepted + Wait - Vendor' in cases with amounts above 100 euros,Percentage of 'Accepted + Wait - Vendor' out of all cases,0.03,
Frequency of 'Accepted + Wait - Vendor' as the first activity in a case,Frequency of activity 'Accepted + Wait - Vendor',249,
Percentage of 'Accepted + Wait - Vendor' followed by 'Accepted + Assigned',Percentage of 'Accepted + Wait - Vendor' out of all 'Accepted + Assigned',0.05,
Number of 'Accepted + Wait - Vendor' occurrences before 'Queued + Awaiting Assignment',Frequency of activity 'Accepted + Wait - Vendor' for cases where activity 'Queued + Awaiting Assignment' occurs,198,
Percentage of 'Accepted + Wait - Vendor' in cases that are eventually cancelled,Percentage of 'Accepted + Wait - Vendor' out of all 'Completed + Cancelled',0.0,
Frequency of 'Accepted + Wait - Vendor' in the top 3 longest process variants,Frequency of activity 'Accepted + Wait - Vendor',249,
