Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
Percentage of 'Request Payment' out of all 'Declaration SUBMITTED by EMPLOYEE',Percentage of 'Request Payment' out of all 'Declaration SUBMITTED by EMPLOYEE',0.97,
Frequency of 'Request Payment' after 'Declaration FINAL_APPROVED by SUPERVISOR',Frequency of activity 'Request Payment' for cases where activity 'Declaration FINAL_APPROVED by SUPERVISOR' occurs,10038,
Percentage of 'Request Payment' with amounts above 100 euros,Percentage of 'Request Payment' out of all cases,1.0,
Frequency of 'Request Payment' compared to 'Payment Handled',Frequency of activity 'Request Payment' for cases where activity 'Payment Handled' occurs,10037,
Percentage of 'Request Payment' that are preceded by 'Declaration FINAL_APPROVED by SUPERVISOR',Percentage of 'Request Payment' out of all 'Declaration FINAL_APPROVED by SUPERVISOR',1.0,
Frequency of 'Request Payment' compared to 'Declaration SUBMITTED by EMPLOYEE',Frequency of activity 'Request Payment' for cases where activity 'Declaration SUBMITTED by EMPLOYEE' occurs,10039,
Percentage of 'Request Payment' that are not rejected,Percentage of 'Request Payment' out of all cases where 'Declaration REJECTED by ADMINISTRATION' does not happen,0.96,
Frequency of 'Request Payment' done by 'STAFF MEMBER',Number of 'Request Payment' activities == 'STAFF MEMBER' where ma is the last value of org:role,,
Frequency of 'Request Payment' after 'Declaration APPROVED by ADMINISTRATION',Frequency of activity 'Request Payment' for cases where activity 'Declaration APPROVED by ADMINISTRATION' occurs,7914,
Percentage of 'Request Payment' that are approved,Percentage of 'Request Payment' out of all cases,,
Frequency of 'Request Payment' grouped by 'case:BudgetNumber',Number of 'Request Payment' activities grouped by the last value of case:BudgetNumber,budget 86566:10040,"{""budget 86566"":10040}"
Frequency of 'Request Payment' that is not dismissed,Frequency of activity 'Request Payment' for cases where activity 'Declaration REJECTED by ADMINISTRATION' does not occur,10040,
Percentage of 'Request Payment' in relation to 'Declaration FINAL_APPROVED by SUPERVISOR',Percentage of 'Request Payment' out of all 'Declaration FINAL_APPROVED by SUPERVISOR',1.0,
Frequency of 'Request Payment' after 'Declaration APPROVED by BUDGET OWNER',Frequency of activity 'Request Payment' for cases where activity 'Declaration APPROVED by BUDGET OWNER' occurs,2796,
Percentage of 'Request Payment' comparing to 'Payment Handled',Percentage of 'Request Payment' out of all 'Payment Handled',1.0,
Frequency of 'Request Payment' by 'SYSTEM',Number of 'Request Payment' activities == 'SYSTEM' where ma is the last value of org:resource,10036,
Percentage of 'Request Payment' comparing to 'Declaration REJECTED by SUPERVISOR',Percentage of 'Request Payment' out of all 'Declaration REJECTED by SUPERVISOR',0.73,
Frequency of 'Request Payment' comparing to 'Declaration REJECTED by PRE_APPROVER',Frequency of activity 'Request Payment' for cases where activity 'Declaration REJECTED by PRE_APPROVER' occurs,72,
Percentage of 'Request Payment' done after 'Declaration FINAL_APPROVED by SUPERVISOR',Percentage of 'Request Payment' out of all 'Declaration FINAL_APPROVED by SUPERVISOR',1.0,
Frequency of 'Request Payment' after 'Declaration REJECTED by ADMINISTRATION',Frequency of activity 'Request Payment' for cases where activity 'Declaration REJECTED by ADMINISTRATION' occurs,636,
Percentage of 'Request Payment' concerning 'Declaration SUBMITTED by EMPLOYEE',Percentage of 'Request Payment' out of all 'Declaration SUBMITTED by EMPLOYEE',0.97,
Frequency of 'Request Payment' per month comparing to 'Declaration FINAL_APPROVED by SUPERVISOR',"ERROR: computing metric {'count': ""activity == 'Request Payment'"", 'metric_condition': '> 0', 'aggregation': 'percentage', 'group_by': 'month', 'filter': ""activity == 'Declaration FINAL_APPROVED by SUPERVISOR'""}",,
Percentage of 'Request Payment' made per year,"ERROR: computing metric {'count': ""activity == 'Request Payment'"", 'metric_condition': '> 0', 'aggregation': 'percentage', 'group_by': 'year'}",,
