Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
Average time from Declaration FOR_APPROVAL by ADMINISTRATION to Declaration FINAL_APPROVED by SUPERVISOR,The average of the duration between activity 'Declaration FOR_APPROVAL by ADMINISTRATION' and activity 'Declaration FINAL_APPROVED by SUPERVISOR',"7 days, 2:28:03",
Average time between Declaration SUBMITTED by EMPLOYEE and Declaration FOR_APPROVAL by ADMINISTRATION,The average of the duration between activity 'Declaration SUBMITTED by EMPLOYEE' and activity 'Declaration FOR_APPROVAL by ADMINISTRATION',"20 days, 12:04:10",
Total time for Declaration FOR_APPROVAL by ADMINISTRATION in the process,The sum of the duration between activity Declaration FOR_APPROVAL by ADMINISTRATION and the end of the case,"13 days, 7:26:12",
Minimum time from Declaration FOR_APPROVAL by ADMINISTRATION to Request Payment,The minimum of the duration between activity 'Declaration FOR_APPROVAL by ADMINISTRATION' and activity 'Request Payment',"8 days, 23:30:32",
Average time for Declaration FOR_APPROVAL by ADMINISTRATION to be followed by Declaration APPROVED by BUDGET OWNER,The average of the duration between activity 'Declaration FOR_APPROVAL by ADMINISTRATION' and activity 'Declaration APPROVED by BUDGET OWNER',"1 day, 1:02:42",
Total resolution time of Declaration FOR_APPROVAL by ADMINISTRATION,The sum of the duration between activity Declaration FOR_APPROVAL by ADMINISTRATION and the end of the case,"13 days, 7:26:12",
Average waiting time to Declaration FOR_APPROVAL by ADMINISTRATION after Declaration APPROVED by ADMINISTRATION,The average of the duration between activity 'Declaration APPROVED by ADMINISTRATION' and activity 'Declaration FOR_APPROVAL by ADMINISTRATION',"8 days, 15:37:08",
Total time it takes Declaration FOR_APPROVAL by ADMINISTRATION after Declaration REJECTED by EMPLOYEE,The sum of the duration between activity 'Declaration REJECTED by EMPLOYEE' and activity 'Declaration FOR_APPROVAL by ADMINISTRATION',"13 days, 2:06:56",
Minimum time it takes Declaration FOR_APPROVAL by ADMINISTRATION to be done after Declaration SAVED by EMPLOYEE,The minimum of the duration between activity 'Declaration SAVED by EMPLOYEE' and activity 'Declaration FOR_APPROVAL by ADMINISTRATION',,
Total time from Declaration FOR_APPROVAL by ADMINISTRATION to Payment Handled,The sum of the duration between activity 'Declaration FOR_APPROVAL by ADMINISTRATION' and activity 'Payment Handled',"13 days, 7:26:12",
Minimum resolution time of Declaration FOR_APPROVAL by ADMINISTRATION in cases involving travel expense claims,The minimum of the duration between activity Declaration FOR_APPROVAL by ADMINISTRATION and the end of the case,"13 days, 7:26:12",
Average time it takes from Declaration FOR_APPROVAL by ADMINISTRATION to the next activity in the process,The average of the duration between activity Declaration FOR_APPROVAL by ADMINISTRATION and the end of the case,"13 days, 7:26:12",
Elapsed time between Declaration FOR_APPROVAL by ADMINISTRATION and Declaration APPROVED by PRE_APPROVER,The average of the duration between activity 'Declaration FOR_APPROVAL by ADMINISTRATION' and activity 'Declaration APPROVED by PRE_APPROVER',,
Time until Declaration FOR_APPROVAL by ADMINISTRATION from the start of the process,The sum of the duration between the start of the case and activity 'Declaration FOR_APPROVAL by ADMINISTRATION',"20 days, 12:04:10",
Time from Declaration FOR_APPROVAL by ADMINISTRATION to Declaration REJECTED by ADMINISTRATION,The average of the duration between activity 'Declaration FOR_APPROVAL by ADMINISTRATION' and activity 'Declaration REJECTED by ADMINISTRATION',,
Time to Declaration FOR_APPROVAL by ADMINISTRATION since Declaration SUBMITTED by EMPLOYEE,The average of the duration between activity 'Declaration SUBMITTED by EMPLOYEE' and activity 'Declaration FOR_APPROVAL by ADMINISTRATION',"20 days, 12:04:10",
Declaration FOR_APPROVAL by ADMINISTRATION Cycle Time in the context of domestic travel claims,The average of the duration between activity Declaration FOR_APPROVAL by ADMINISTRATION and the end of the case,"13 days, 7:26:12",
Average time for Declaration FOR_APPROVAL by ADMINISTRATION in cases where the budget owner and supervisor are the same person,The average of the duration between activity Declaration FOR_APPROVAL by ADMINISTRATION and the end of the case,,
Total time for Declaration FOR_APPROVAL by ADMINISTRATION in processes ending with Request Payment,The sum of the duration between activity 'Declaration FOR_APPROVAL by ADMINISTRATION' and activity 'Request Payment',"8 days, 23:30:32",
