Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
Percentage of 'Declaration FOR_APPROVAL by SUPERVISOR' before 'Declaration FINAL_APPROVED by SUPERVISOR',Percentage of 'Declaration FOR_APPROVAL by SUPERVISOR' out of all 'Declaration FINAL_APPROVED by SUPERVISOR',0.0,
Number of 'Declaration FOR_APPROVAL by SUPERVISOR',Number of 'Declaration FOR_APPROVAL by SUPERVISOR' activities,1,
Percentage of 'Declaration FOR_APPROVAL by SUPERVISOR' from 'Declaration FINAL_APPROVED by SUPERVISOR' paths,Percentage of 'Declaration FOR_APPROVAL by SUPERVISOR' out of all 'Declaration FINAL_APPROVED by SUPERVISOR',0.0,
Number of 'Declaration FOR_APPROVAL by SUPERVISOR' that are preceded by 'Declaration FOR_APPROVAL by PRE_APPROVER',Number of 'Declaration FOR_APPROVAL by SUPERVISOR' activities for cases where activity 'Declaration FOR_APPROVAL by PRE_APPROVER' occurs,0,
Percentage of 'Declaration FOR_APPROVAL by SUPERVISOR' that are not dismissed out of all 'Declaration REJECTED by SUPERVISOR',Percentage of 'Declaration FOR_APPROVAL by SUPERVISOR' out of all cases where 'Declaration REJECTED by SUPERVISOR' does not happen,0.0,
Percentage of 'Declaration FOR_APPROVAL by SUPERVISOR' from 'Declaration FINAL_APPROVED by SUPERVISOR' paths when 'Declaration FOR_APPROVAL by SUPERVISOR' is executed by 'STAFF MEMBER',Percentage of 'Declaration FOR_APPROVAL by SUPERVISOR' out of all 'Declaration FINAL_APPROVED by SUPERVISOR',0.0,
Number of 'Declaration FOR_APPROVAL by SUPERVISOR' with amounts above 100 euros,Number of 'Declaration FOR_APPROVAL by SUPERVISOR' activities > 100 where ma is the last value of case:Amount,0,
Percentage of 'Declaration FOR_APPROVAL by SUPERVISOR' by 'STAFF MEMBER',Percentage of 'Declaration FOR_APPROVAL by SUPERVISOR' out of all cases,,
Number of 'Declaration FOR_APPROVAL by SUPERVISOR' grouped by case:BudgetNumber,Number of 'Declaration FOR_APPROVAL by SUPERVISOR' activities grouped by the last value of case:BudgetNumber,budget 86566:1,"{""budget 86566"":1}"
Percentage of 'Declaration FOR_APPROVAL by SUPERVISOR' by 'STAFF MEMBER' or 'ADMINISTRATION',Percentage of 'Declaration FOR_APPROVAL by SUPERVISOR' out of all cases,,
Percentage of 'Declaration FOR_APPROVAL by SUPERVISOR' followed by 'Declaration FINAL_APPROVED by SUPERVISOR',Percentage of 'Declaration FOR_APPROVAL by SUPERVISOR' out of all 'Declaration FINAL_APPROVED by SUPERVISOR',0.0,
