Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
Frequency of 'SW-EIC Reject' compared to 'SW-Reviewer Agreed',Percentage of 'SW-EIC Reject' out of all 'SW-Reviewer Agreed',0.22,
Percentage of manuscripts leading to 'SW-EIC Reject' after 'SW-Awaiting EIC Decision',Percentage of 'SW-EIC Reject' out of all 'SW-Awaiting EIC Decision',0.27,
Frequency of 'SW-EIC Reject' following 'SW-Awaiting AE Recommendation',Frequency of activity 'SW-EIC Reject' for cases where activity 'SW-Awaiting AE Recommendation' occurs,11.0,
Percentage of 'SW-EIC Reject' out of all decisions made by EIC,Percentage of 'SW-EIC Reject' out of all cases,1.0,
"Number of 'SW-EIC Reject' decisions per year,""ERROR: computing metric {'count': """"activity == 'SW-EIC Reject'"""", 'metric_condition': '> 0', 'aggregation': 'total', 'group_by': 'year'}"",,"
Percentage of 'SW-EIC Reject' decisions that follow a 'SW-Reviewer No Response',Percentage of 'SW-EIC Reject' out of all 'SW-Reviewer No Response',0.2,
Frequency of 'SW-EIC Reject' in manuscripts with 'Plagiarism Originality Report Completed',Frequency of activity 'SW-EIC Reject' for cases where activity 'Plagiarism Originality Report Completed' occurs,33.0,
"Percentage of 'SW-EIC Reject' for manuscripts that underwent 'SW–Major Revision due in 1 week',""ERROR: computing metric {'count': """"activity == 'SW-EIC Reject'"""", 'metric_condition': '> 0', 'aggregation': 'percentage', 'filter': """"activity == 'SW–Major Revision due in 1 week'""""}"",,"
Number of 'SW-EIC Reject' before 'Manuscript Export Succeeded',Frequency of activity 'SW-EIC Reject' for cases where activity 'Manuscript Export Succeeded' does not occur,34.0,
Percentage of 'SW-EIC Reject' after 'SW-Checklist Completed',Percentage of 'SW-EIC Reject' out of all 'SW-Checklist Completed',0.4,
Frequency of 'SW-EIC Reject' in relation to 'SW-EIC Accept',Percentage of 'SW-EIC Reject' out of all 'SW-EIC Accept',0.0,
Percentage of 'SW-EIC Reject' following 'SW-AE Assign Reviewers',Percentage of 'SW-EIC Reject' out of all 'SW-AE Assign Reviewers',0.2,
Number of 'SW-EIC Reject' decisions after 'Reviewer Invitation Reminder 2',Frequency of activity 'SW-EIC Reject' for cases where activity 'Reviewer Invitation Reminder 2' occurs,7.0,
Frequency of 'SW-EIC Reject' compared to 'SW-EIC Major Revision',Percentage of 'SW-EIC Reject' out of all 'SW-EIC Major Revision',0.0,
Percentage of 'SW-EIC Reject' following 'SW-Reviewer Declined',Percentage of 'SW-EIC Reject' out of all 'SW-Reviewer Declined',0.21,
"Number of 'SW-EIC Reject' decisions per month,""ERROR: computing metric {'count': """"activity == 'SW-EIC Reject'"""", 'metric_condition': '> 0', 'aggregation': 'total', 'group_by': 'month'}"",,"
Percentage of 'SW-EIC Reject' for manuscripts that received 'First Look Manuscript Submission Confirmation',Percentage of 'SW-EIC Reject' out of all 'First Look Manuscript Submission Confirmation',0.0,
Frequency of 'SW-EIC Reject' after 'SW-AE Recommendation overdue',Frequency of activity 'SW-EIC Reject' for cases where activity 'SW-AE Recommendation overdue' occurs,1.0,
Percentage of 'SW-EIC Reject' in the context of 'SW-Reviewer Selection is now due',Percentage of 'SW-EIC Reject' out of all 'SW-Reviewer Selection is now due',0.0,
