Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
Frequency of 'Accepted + Wait - Implementation' leading to 'Completed + In Call',Frequency of activity 'Accepted + Wait - Implementation' for cases where activity 'Completed + In Call' occurs,16,
Percentage of 'Accepted + Wait - Implementation' out of all 'Accepted + In Progress' activities,Percentage of 'Accepted + Wait - Implementation' out of all 'Accepted + In Progress',0.05,
Number of 'Accepted + Wait - Implementation' activities that are followed by 'Completed + Resolved',Frequency of activity 'Accepted + Wait - Implementation' for cases where activity 'Completed + Resolved' occurs,403,
Percentage of 'Accepted + Wait - Implementation' activities that lead to a resolution without 'Queued + Awaiting Assignment',Percentage of 'Accepted + Wait - Implementation' out of all cases where 'Queued + Awaiting Assignment' does not happen,0.05,
Frequency of 'Accepted + Wait - Implementation' in relation to 'Completed + Closed',Frequency of activity 'Accepted + Wait - Implementation' for cases where activity 'Completed + Closed' occurs,395,
Percentage of 'Accepted + Wait - Implementation' followed by any activity within the top 5 most frequent variants,Percentage of 'Accepted + Wait - Implementation' out of all 'Top 5 frequent activities',,
Number of 'Accepted + Wait - Implementation' activities that occur before 'Accepted + Wait - Vendor',Frequency of activity 'Accepted + Wait - Implementation' for cases where activity 'Accepted + Wait - Vendor' occurs,23,
Percentage of 'Accepted + Wait - Implementation' activities that are not dismissed compared to 'Accepted + Wait - User',Percentage of 'Accepted + Wait - Implementation' out of all cases where 'Dismissed' does not happen,0.05,
Frequency of 'Accepted + Wait - Implementation' in incidents with 'High' impact as described in the event log,Frequency of activity 'Accepted + Wait - Implementation',28,
Percentage of 'Accepted + Wait - Implementation' activities by year to analyze trends over time,"ERROR: computing metric {'count': ""activity == 'Accepted + Wait - Implementation'"", 'metric_condition': '> 0', 'aggregation': 'percentage', 'group_by': 'year'}",,
Frequency of 'Accepted + Wait - Implementation' leading directly to 'Completed + In Call' without intermediate steps,Frequency of activity 'Accepted + Wait - Implementation' for cases where activity 'Completed + In Call' occurs,16,
"Percentage of 'Accepted + Wait - Implementation' in the context of the entire process flow, highlighting its role in the process",Percentage of 'Accepted + Wait - Implementation' out of all 'Entire process flow',,
Number of 'Accepted + Wait - Implementation' activities that result in an increment of performance measure,"ERROR: computing metric {'count': ""activity == 'Accepted + Wait - Implementation'"", 'metric_condition': '> 0', 'aggregation': 'total', 'filter': 'performance measure increment'}",,
Percentage of 'Accepted + Wait - Implementation' followed by 'Completed + Resolved' to measure effectiveness,Percentage of 'Accepted + Wait - Implementation' out of all 'Completed + Resolved',0.07,
"Frequency of 'Accepted + Wait - Implementation' as a precursor to 'Completed + Closed', indicating closure rates",Frequency of activity 'Accepted + Wait - Implementation' for cases where activity 'Completed + Closed' occurs,395,
"Percentage of 'Accepted + Wait - Implementation' activities with appeal, indicating customer dissatisfaction or disputes",Percentage of 'Accepted + Wait - Implementation' out of all cases,0.05,
"Average number of 'Accepted + Wait - Implementation' activities followed by 'Completed + In Call' per month, showing seasonal or monthly trends","ERROR: computing metric {'count': ""activity == 'Accepted + Wait - Implementation'"", 'metric_condition': '> 0', 'aggregation': 'average', 'group_by': 'month', 'filter': ""activity == 'Completed + In Call'""}",,
"Total 'Accepted + Wait - Implementation' activities done by top 5 resources, indicating key personnel in this activity",Frequency of activity 'Accepted + Wait - Implementation',,
"Fraction of 'Accepted + Wait - Implementation' activities that are dismissed, showing efficiency or potential areas for process improvement",Percentage of 'Accepted + Wait - Implementation' out of all 'Dismissed',,
"Ratio of 'Accepted + Wait - Implementation' over 'Accepted + In Progress', indicating the transition efficiency between these activities",Percentage of 'Accepted + Wait - Implementation' out of all 'Accepted + In Progress',0.05,
"Occasions how often 'Accepted + Wait - Implementation' leads to a penalty, indicating compliance or quality issues",Frequency of activity 'Accepted + Wait - Implementation',413,
