Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
Frequency of 'SW-Reviewer Declined' compared to 'SW-Reviewer Agreed',Percentage of 'SW-Reviewer Declined' out of all 'SW-Reviewer Agreed',0.63,
Percentage of manuscripts that have 'SW-Reviewer Declined' after 'SW-AE Assign Reviewers',Percentage of 'SW-Reviewer Declined' out of all 'SW-AE Assign Reviewers',0.61,
"Percentage of 'SW-Reviewer Declined' out of all review-related activities,""ERROR: computing metric {'count': """"activity == 'SW-Reviewer Declined'"""", 'metric_condition': '> 0', 'aggregation': 'percentage', 'filter': """"activity == 'SW-Reviewer Agreed' or activity == 'SW-Reviewer Unavailable' or activity == 'SW-Reviewer No Response'""""}"",,"
Frequency of 'SW-Reviewer Declined' leading to 'SW-EIC Major Revision',Frequency of activity 'SW-Reviewer Declined' for cases where activity 'SW-EIC Major Revision' occurs,12,
Percentage of 'SW-Reviewer Declined' followed by 'Reviewer Invitation Reminder 1',Percentage of 'SW-Reviewer Declined' out of all 'Reviewer Invitation Reminder 1',0.62,
Number of 'SW-Reviewer Declined' in the most common process variant,Number of 'SW-Reviewer Declined' activities for cases where activity 'most common process variant' occurs,,
Frequency of 'SW-Reviewer Declined' before 'SW-Reviewer Selection is now due',Frequency of activity 'SW-Reviewer Declined' for cases where activity 'SW-Reviewer Selection is now due' occurs,6,
Percentage of 'SW-Reviewer Declined' in relation to 'SW-Reviewer Unavailable',Percentage of 'SW-Reviewer Declined' out of all 'SW-Reviewer Unavailable',0.75,
Number of 'SW-Reviewer Declined' followed by 'Assign a Different Editor',Number of 'SW-Reviewer Declined' activities for cases where activity 'Assign a Different Editor' occurs,4,
Percentage of 'SW-Reviewer Declined' in manuscripts that are eventually accepted ('RW-EIC Accept'),Percentage of 'SW-Reviewer Declined' out of all 'RW-EIC Accept',0.64,
Frequency of 'SW-Reviewer Declined' in manuscripts requiring major revisions ('SW-EIC Major Revision'),Frequency of activity 'SW-Reviewer Declined' for cases where activity 'SW-EIC Major Revision' occurs,12,
Percentage of 'SW-Reviewer Declined' in relation to all decisions made by the Editor-in-Chief ('SW-Awaiting EIC Decision'),Percentage of 'SW-Reviewer Declined' out of all 'SW-Awaiting EIC Decision',0.49,
Number of 'SW-Reviewer Declined' occurrences before a manuscript is withdrawn ('Manuscript is Withdrawn'),Number of 'SW-Reviewer Declined' activities for cases where activity 'Manuscript is Withdrawn' occurs,0,
