Name;Metric;Value;Agrupation
Average time from Declaration SUBMITTED by EMPLOYEE to Declaration REJECTED by EMPLOYEE;The average of the duration between activity 'Declaration SUBMITTED by EMPLOYEE' and activity 'Declaration REJECTED by EMPLOYEE';8.80 days;
Total time spent in Declaration REJECTED by EMPLOYEE across all cases;The sum of the duration between activity Declaration REJECTED by EMPLOYEE and the end of the case;14814.32 days;
Minimum time between Declaration REJECTED by ADMINISTRATION and Declaration REJECTED by EMPLOYEE;The minimum of the duration between activity 'Declaration REJECTED by ADMINISTRATION' and activity 'Declaration REJECTED by EMPLOYEE';1.20 minutes;
Average time between Declaration REJECTED by SUPERVISOR and Declaration REJECTED by EMPLOYEE;The average of the duration between activity 'Declaration REJECTED by SUPERVISOR' and activity 'Declaration REJECTED by EMPLOYEE';5.28 days;
Average cycle time of Declaration REJECTED by EMPLOYEE when preceded by a rejection from ADMINISTRATION;The average of the duration between activity 'Declaration REJECTED by ADMINISTRATION' and activity 'Declaration REJECTED by EMPLOYEE';3.58 days;
Total elapsed time from Declaration REJECTED by PRE_APPROVER to Declaration REJECTED by EMPLOYEE;The sum of the duration between activity 'Declaration REJECTED by PRE_APPROVER' and activity 'Declaration REJECTED by EMPLOYEE';171.06 days;
Average time it takes Declaration REJECTED by EMPLOYEE to occur after any prior rejection activity (e.g., Declaration REJECTED by ADMINISTRATION, Declaration REJECTED by SUPERVISOR, Declaration REJECTED by PRE_APPROVER, or Declaration REJECTED by BUDGET OWNER);the average of the duration between the first time instant when `ACTIVITY` == 'Declaration REJECTED by ADMINISTRATION' or `ACTIVITY` == 'Declaration REJECTED by SUPERVISOR' or `ACTIVITY` == 'Declaration REJECTED by PRE_APPROVER' or `ACTIVITY` == 'Declaration REJECTED by BUDGET OWNER' and the last time instant when `ACTIVITY` == 'Declaration REJECTED by EMPLOYEE';3.95 days;
Minimum time for Declaration REJECTED by EMPLOYEE in variants that include multiple re-submission cycles;The minimum of the duration between activity 'Declaration SUBMITTED by EMPLOYEE' and activity 'Declaration REJECTED by EMPLOYEE';2.58 minutes;
Average time from the previous Declaration SUBMITTED by EMPLOYEE to Declaration REJECTED by EMPLOYEE in rework loops;The average of the duration between activity 'Declaration SUBMITTED by EMPLOYEE' and activity 'Declaration REJECTED by EMPLOYEE';8.80 days;
Total resolution time of Declaration REJECTED by EMPLOYEE in cases that eventually lead to Payment Handled;The sum of the duration between activity 'Declaration REJECTED by EMPLOYEE' and activity 'Payment Handled';13903.13 days;
Average time between Declaration REJECTED by MISSING and Declaration REJECTED by EMPLOYEE;The average of the duration between activity 'Declaration REJECTED by MISSING' and activity 'Declaration REJECTED by EMPLOYEE';5.10 days;
Average time it takes Declaration REJECTED by EMPLOYEE to be performed after Declaration REJECTED by BUDGET OWNER;The average of the duration between activity 'Declaration REJECTED by BUDGET OWNER' and activity 'Declaration REJECTED by EMPLOYEE';4.98 days;
Minimum time from Declaration SUBMITTED by EMPLOYEE to Declaration REJECTED by EMPLOYEE in variants ending without payment;The minimum of the duration between activity 'Declaration SUBMITTED by EMPLOYEE' and activity 'Declaration REJECTED by EMPLOYEE';2.58 minutes;
Total time elapsed in Declaration REJECTED by EMPLOYEE for cases with more than two submission-rejection cycles;The sum of the duration between activity Declaration REJECTED by EMPLOYEE and the end of the case;14814.32 days;
Average cycle time of Declaration REJECTED by EMPLOYEE compared to the cycle time of Declaration SUBMITTED by EMPLOYEE in the same case;The average of the duration between activity 'Declaration SUBMITTED by EMPLOYEE' and activity 'Declaration REJECTED by EMPLOYEE';8.80 days;
Average time between consecutive occurrences of Declaration REJECTED by EMPLOYEE in multi-rejection variants;The average of the duration between activity 'Declaration REJECTED by EMPLOYEE' and activity 'Declaration REJECTED by EMPLOYEE';1.54 days;
Total time from the first event in the case to Declaration REJECTED by EMPLOYEE in rejected-only variants;The sum of the duration between activity 'Declaration SUBMITTED by EMPLOYEE' and activity 'Declaration REJECTED by EMPLOYEE';10670.89 days;
Minimum time between Declaration APPROVED by ADMINISTRATION and Declaration REJECTED by EMPLOYEE in cases where approval was later revoked;The minimum of the duration between activity 'Declaration APPROVED by ADMINISTRATION' and activity 'Declaration REJECTED by EMPLOYEE';48.92 minutes;
Average time from Declaration FINAL_APPROVED by SUPERVISOR to Declaration REJECTED by MISSING followed by Declaration REJECTED by EMPLOYEE;The average of the duration between activity 'Declaration FINAL_APPROVED by SUPERVISOR' and activity 'Declaration REJECTED by EMPLOYEE';62.85 days;
