Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
Frequency of 'Accepted + Wait - Vendor' leading to 'Completed + Resolved',Frequency of activity 'Accepted + Wait - Vendor' for cases where activity 'Completed + Resolved' occurs,249,
Percentage of incidents resolved after 'Accepted + Wait - Vendor' compared to 'Accepted + Wait - User',Percentage of 'Accepted + Wait - Vendor' out of all 'Accepted + Wait - User',0.04,
Number of times 'Accepted + Wait - Vendor' occurs before 'Accepted + In Progress',Number of 'Accepted + Wait - Vendor' activities for cases where activity 'Accepted + In Progress' occurs,298,
Percentage of 'Accepted + Wait - Vendor' out of all 'Queued + Awaiting Assignment',Percentage of 'Accepted + Wait - Vendor' out of all 'Queued + Awaiting Assignment',0.04,
Frequency of 'Accepted + Wait - Vendor' followed by 'Completed + Closed',Frequency of activity 'Accepted + Wait - Vendor' for cases where activity 'Completed + Closed' occurs,244,
Percentage of 'Accepted + Wait - Vendor' in relation to total activities in the VINST system,Percentage of 'Accepted + Wait - Vendor' out of all cases,0.03,
Total number of 'Accepted + Wait - Vendor' performed by the top 5 resources,"ERROR: computing metric {'count': ""activity == 'Accepted + Wait - Vendor'"", 'aggregation': 'total', 'filter': 'org:resource == top 5 resources'}",,
Percentage of 'Accepted + Wait - Vendor' followed by 'Accepted + In Progress' compared to 'Accepted + Wait - User' followed by 'Accepted + In Progress',Percentage of 'Accepted + Wait - Vendor' out of all 'Accepted + Wait - User',0.04,
Frequency of 'Accepted + Wait - Vendor' in the most common process variant,"ERROR: computing metric {'count': ""activity == 'Accepted + Wait - Vendor'"", 'metric_condition': '> 0', 'aggregation': 'total', 'filter': 'activity == most common process variant'}",,
Percentage of 'Accepted + Wait - Vendor' leading to a change in product,"ERROR: computing metric {'count': ""activity == 'Accepted + Wait - Vendor'"", 'metric_condition': '> 0', 'aggregation': 'percentage', 'filter': 'product != original product'}",,
Number of 'Accepted + Wait - Vendor' activities made per year,"ERROR: computing metric {'count': ""activity == 'Accepted + Wait - Vendor'"", 'aggregation': 'total', 'group_by': 'year'}",,
Percentage of 'Accepted + Wait - Vendor' that result in a high impact on the organization,"ERROR: computing metric {'count': ""activity == 'Accepted + Wait - Vendor'"", 'metric_condition': '> 0', 'aggregation': 'percentage', 'filter': 'impact == high'}",,
Frequency of 'Accepted + Wait - Vendor' in incidents with a performance above the median performance of all variants,Frequency of activity 'Accepted + Wait - Vendor',249,
Percentage of 'Accepted + Wait - Vendor' activities that are not eventually performed compared to 'Accepted + Wait - User',Percentage of 'Accepted + Wait - Vendor' out of all cases where 'Accepted + Wait - User' does not happen,0.03,
Ratio of 'Accepted + Wait - Vendor' over 'Accepted + Assigned' in terms of leading to 'Completed + Resolved',Frequency of activity 'Accepted + Wait - Vendor' for cases where activity 'Completed + Resolved' occurs,249,
Average number of 'Accepted + Wait - Vendor' activities in a month,"ERROR: computing metric {'count': ""activity == 'Accepted + Wait - Vendor'"", 'aggregation': 'average', 'group_by': 'month'}",,
Total 'Accepted + Wait - Vendor' done by the organization with the highest number of incidents,"ERROR: computing metric {'count': ""activity == 'Accepted + Wait - Vendor'"", 'aggregation': 'total', 'filter': 'organization involved == organization with highest number of incidents'}",,
Fraction of 'Accepted + Wait - Vendor' that are dismissed compared to 'Accepted + Wait - Implementation',Percentage of 'Accepted + Wait - Vendor' out of all 'Accepted + Wait - Implementation',0.06,
