Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
Frequency of 'Declaration REJECTED by SUPERVISOR' compared to 'Declaration APPROVED by ADMINISTRATION',Percentage of 'Declaration REJECTED by SUPERVISOR' out of all 'Declaration APPROVED by ADMINISTRATION',0.03,
Percentage of cases leading to 'Declaration REJECTED by SUPERVISOR' after 'Declaration SUBMITTED by EMPLOYEE',Percentage of 'Declaration REJECTED by SUPERVISOR' out of all 'Declaration SUBMITTED by EMPLOYEE',0.03,
Number of 'Declaration REJECTED by SUPERVISOR' that precede 'Declaration REJECTED by EMPLOYEE',Number of 'Declaration REJECTED by SUPERVISOR' activities for cases where activity 'Declaration REJECTED by EMPLOYEE' occurs,289,
Percentage of 'Declaration REJECTED by SUPERVISOR' out of all rejection activities,Percentage of 'Declaration REJECTED by SUPERVISOR' out of all cases where 'Declaration REJECTED by SUPERVISOR' does not happen,0.03,
Frequency of 'Declaration REJECTED by SUPERVISOR' in cases with amounts above 100 euros,Number of 'Declaration REJECTED by SUPERVISOR' activities > 100 where ma is the last value of case:Amount,80,
Percentage of 'Declaration REJECTED by SUPERVISOR' followed by 'Declaration SUBMITTED by EMPLOYEE',Percentage of 'Declaration REJECTED by SUPERVISOR' out of all 'Declaration SUBMITTED by EMPLOYEE',0.03,
Number of 'Declaration REJECTED by SUPERVISOR' in relation to 'Declaration FINAL_APPROVED by SUPERVISOR',Number of 'Declaration REJECTED by SUPERVISOR' activities for cases where activity 'Declaration FINAL_APPROVED by SUPERVISOR' occurs,209,
Frequency of 'Declaration REJECTED by SUPERVISOR' in each variant where 'Declaration REJECTED by PRE_APPROVER' occurs,Number of 'Declaration REJECTED by SUPERVISOR' activities for cases where activity 'Declaration REJECTED by PRE_APPROVER' occurs,0,
Percentage reduction in 'Declaration REJECTED by SUPERVISOR' after implementing changes aimed at reducing 'Declaration REJECTED by PRE_APPROVER',the average of the function base < 0 where base is the number of times `ACTIVITY` == 'Declaration REJECTED by SUPERVISOR' filtered by the function ma > 0 where ma is the number of times `ACTIVITY` == 'Declaration REJECTED by PRE_APPROVER',0.0,
Ratio of 'Declaration REJECTED by SUPERVISOR' over 'Declaration APPROVED by PRE_APPROVER',Percentage of 'Declaration REJECTED by SUPERVISOR' out of all 'Declaration APPROVED by PRE_APPROVER',0.02,
Number of 'Declaration REJECTED by SUPERVISOR' grouped by 'case:BudgetNumber',Number of 'Declaration REJECTED by SUPERVISOR' activities grouped by the last value of case:BudgetNumber,budget 86566:293,"{""budget 86566"":293}"
Percentage of 'Declaration REJECTED by SUPERVISOR' in cases exceeding the average processing time,Percentage of 'Declaration REJECTED by SUPERVISOR' out of all cases,0.03,
Frequency of 'Declaration REJECTED by SUPERVISOR' in relation to total declarations submitted,Percentage of 'Declaration REJECTED by SUPERVISOR' out of all 'Declaration SUBMITTED by EMPLOYEE',0.03,
Percentage of 'Declaration REJECTED by SUPERVISOR' that lead to a re-submission within 30 days,Percentage of 'Declaration REJECTED by SUPERVISOR' out of all cases,0.03,
