Name;Metric;Value;Agrupation
;ERROR: computing metric {};;
Average time from 'Declaration SUBMITTED by EMPLOYEE' to 'Declaration REJECTED by EMPLOYEE';The average of the duration between activity 'Declaration SUBMITTED by EMPLOYEE' and activity 'Declaration REJECTED by EMPLOYEE';8.80 days;
Average time from 'Declaration REJECTED by EMPLOYEE' to 'Declaration SUBMITTED by EMPLOYEE';The average of the duration between activity 'Declaration REJECTED by EMPLOYEE' and activity 'Declaration SUBMITTED by EMPLOYEE';6.28 days;
Total time spent on 'Declaration REJECTED by EMPLOYEE' across all cases;The sum of the duration between activity Declaration REJECTED by EMPLOYEE and the end of the case;14814.32 days;
Average resolution time of 'Declaration REJECTED by EMPLOYEE';The average of the duration between activity Declaration REJECTED by EMPLOYEE and the end of the case;12.22 days;
Minimum time from 'Declaration REJECTED by EMPLOYEE' to 'Declaration SUBMITTED by EMPLOYEE';The minimum of the duration between activity 'Declaration REJECTED by EMPLOYEE' and activity 'Declaration SUBMITTED by EMPLOYEE';29.00 seconds;
Average time between 'Declaration REJECTED by EMPLOYEE' and 'Declaration APPROVED by ADMINISTRATION';The average of the duration between activity 'Declaration REJECTED by EMPLOYEE' and activity 'Declaration APPROVED by ADMINISTRATION';6.09 days;
Total resolution time for cases involving 'Declaration REJECTED by EMPLOYEE' and then 'Declaration APPROVED by PRE_APPROVER';The sum of the duration between activity 'Declaration REJECTED by EMPLOYEE' and activity 'Declaration APPROVED by PRE_APPROVER';249.27 days;
Average time from 'Declaration REJECTED by EMPLOYEE' to 'Declaration FINAL_APPROVED by SUPERVISOR';The average of the duration between activity 'Declaration REJECTED by EMPLOYEE' and activity 'Declaration FINAL_APPROVED by SUPERVISOR';8.34 days;
Total time from 'Declaration REJECTED by EMPLOYEE' to 'Request Payment' in cases where the declaration is eventually approved;The sum of the duration between activity 'Declaration REJECTED by EMPLOYEE' and activity 'Request Payment';10616.06 days;
Average time from 'Declaration REJECTED by EMPLOYEE' to 'Payment Handled' in successful claim cases;The average of the duration between activity 'Declaration REJECTED by EMPLOYEE' and activity 'Payment Handled';15.01 days;
Minimum time from 'Declaration REJECTED by EMPLOYEE' to 'Declaration APPROVED by BUDGET OWNER' in cases that require budget owner approval;The minimum of the duration between activity 'Declaration REJECTED by EMPLOYEE' and activity 'Declaration APPROVED by BUDGET OWNER';4.15 minutes;
Minimum time from 'Declaration REJECTED by EMPLOYEE' to 'Declaration FINAL_APPROVED by SUPERVISOR' in cases that are successfully resolved;The minimum of the duration between activity 'Declaration REJECTED by EMPLOYEE' and activity 'Declaration FINAL_APPROVED by SUPERVISOR';1.30 minutes;
Average time from 'Declaration REJECTED by EMPLOYEE' to 'Declaration REJECTED by PRE_APPROVER' to understand the rejection path;The average of the duration between activity 'Declaration REJECTED by EMPLOYEE' and activity 'Declaration REJECTED by PRE_APPROVER';9.78 days;
Total time from 'Declaration REJECTED by EMPLOYEE' to 'Declaration APPROVED by ADMINISTRATION' in cases that are re-submitted and approved;The sum of the duration between activity 'Declaration REJECTED by EMPLOYEE' and activity 'Declaration APPROVED by ADMINISTRATION';5053.94 days;
