Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
Percentage of \SW-AE Assign Reviewers\ followed by \Reviewer Invitation Reminder 1\,Percentage of 'SW-AE Assign Reviewers' out of all 'Reviewer Invitation Reminder 1',0.89,
Number of \SW-AE Assign Reviewers\ that are preceded by \SW-Reviewer Selection is due in 1 week\,Number of 'SW-AE Assign Reviewers' activities for cases where activity 'SW-Reviewer Selection is due in 1 week' occurs,111,
Percentage of \SW-AE Assign Reviewers\ out of all \SW-Reviewer Agreed\,Percentage of 'SW-AE Assign Reviewers' out of all 'SW-Reviewer Agreed',0.98,
Number of \SW-AE Assign Reviewers\ grouped by \case:concept:name\,"ERROR: computing metric {'count': ""activity == 'SW-AE Assign Reviewers'"", 'aggregation': 'total', 'group_by': 'case:concept:name'}",,
Number of times \SW-AE Assign Reviewers\ is performed per year,"ERROR: computing metric {'count': ""activity == 'SW-AE Assign Reviewers'"", 'aggregation': 'total', 'group_by': 'year'}",,
Percentage of \SW-AE Assign Reviewers\ followed by \SW-Reviewer Declined\,Percentage of 'SW-AE Assign Reviewers' out of all 'SW-Reviewer Declined',0.97,
Average number of \SW-AE Assign Reviewers\ in a month,"ERROR: computing metric {'count': ""activity == 'SW-AE Assign Reviewers'"", 'aggregation': 'average', 'group_by': 'month'}",,
Total \SW-AE Assign Reviewers\ done by \SYSTEM\,Number of 'SW-AE Assign Reviewers' activities == 'SYSTEM' where ma is the last value of performer,135,
Percentage of \SW-AE Assign Reviewers\ that lead to \SW-Awaiting EIC Decision\,Percentage of 'SW-AE Assign Reviewers' out of all 'SW-Awaiting EIC Decision',0.76,
Number of \SW-AE Assign Reviewers\ in relation to \SW-Reviewer Selection is now due\,Number of 'SW-AE Assign Reviewers' activities for cases where activity 'SW-Reviewer Selection is now due' occurs,40,
Percentage of \SW-AE Assign Reviewers\ from all \SW-AE Assign Reviewers Challenge Paper\,Percentage of 'SW-AE Assign Reviewers' out of all 'SW-AE Assign Reviewers Challenge Paper',0.67,
Fraction of \SW-AE Assign Reviewers\ that are followed by \Reviewer Invitation Reminder 2\,Percentage of 'SW-AE Assign Reviewers' out of all 'Reviewer Invitation Reminder 2',0.88,
Ratio of \SW-AE Assign Reviewers\ over \SW-Reviewer Unavailable\,Percentage of 'SW-AE Assign Reviewers' out of all 'SW-Reviewer Unavailable',1.0,
Occasions how often \SW-AE Assign Reviewers\ is performed in the context of \SW-AE Assign Reviewers Challenge Paper\,Number of 'SW-AE Assign Reviewers' activities for cases where activity 'SW-AE Assign Reviewers Challenge Paper' occurs,3,
