Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
Frequency of 'SW-Awaiting EIC Decision' followed by 'SW-EIC Reject',Frequency of activity 'SW-Awaiting EIC Decision' for cases where activity 'SW-EIC Reject' occurs,16,
Frequency of 'SW-Awaiting EIC Decision' followed by 'SW-EIC Accept',Frequency of activity 'SW-Awaiting EIC Decision' for cases where activity 'SW-EIC Accept' occurs,3,
Percentage of 'SW-Awaiting EIC Decision' leading to 'SW-EIC Major Revision' out of all decisions made after 'SW-Awaiting EIC Decision',Percentage of 'SW-Awaiting EIC Decision' out of all 'SW-EIC Major Revision',1.0,
Number of 'SW-Awaiting EIC Decision' that are preceded by 'SW-Awaiting AE Recommendation',Frequency of activity 'SW-Awaiting EIC Decision' for cases where activity 'SW-Awaiting AE Recommendation' occurs,35,
Percentage of 'SW-Awaiting EIC Decision' out of all activities in the review process of scientific papers,Percentage of 'SW-Awaiting EIC Decision' out of all cases,0.63,
Frequency of 'SW-Awaiting EIC Decision' in relation to 'SW-AE Assign Reviewers',Frequency of activity 'SW-Awaiting EIC Decision' for cases where activity 'SW-AE Assign Reviewers' occurs,45,
Percentage of 'SW-Awaiting EIC Decision' followed by 'SW-EIC Major Revision' by month,"ERROR: computing metric {'count': ""activity == 'SW-Awaiting EIC Decision'"", 'metric_condition': '> 0', 'aggregation': 'percentage', 'filter': ""activity == 'SW-EIC Major Revision'"", 'group_by': 'month'}",,
Number of 'SW-Awaiting EIC Decision' grouped by case:concept:name,"ERROR: computing metric {'count': ""activity == 'SW-Awaiting EIC Decision'"", 'metric_condition': '> 0', 'aggregation': 'total', 'group_by': 'case:concept:name'}",,
Frequency of 'SW-Awaiting EIC Decision' made per year,"ERROR: computing metric {'count': ""activity == 'SW-Awaiting EIC Decision'"", 'metric_condition': '> 0', 'aggregation': 'total', 'group_by': 'year'}",,
Percentage of 'SW-Awaiting EIC Decision' that lead to a revision (either 'SW-EIC Major Revision' or 'SW-EIC Minor Revision') out of all decisions,Percentage of 'SW-Awaiting EIC Decision' out of all 'SW-EIC Major Revision',1.0,
Number of times 'SW-Awaiting EIC Decision' is performed before 'Manuscript Export Succeeded',Frequency of activity 'SW-Awaiting EIC Decision' for cases where activity 'Manuscript Export Succeeded' occurs,58,
Percentage of 'SW-Awaiting EIC Decision' that result in 'SW-EIC Reject & Resubmit' out of all 'SW-Awaiting EIC Decision' activities,"ERROR: computing metric {'count': ""activity == 'SW-Awaiting EIC Decision'"", 'metric_condition': '> 0', 'aggregation': 'percentage', 'filter': ""activity == 'SW-EIC Reject & Resubmit'""}",,
Frequency of 'SW-Awaiting EIC Decision' in the most common process variant,Frequency of activity 'SW-Awaiting EIC Decision',59,
Percentage of 'SW-Awaiting EIC Decision' that are followed by 'First Look-Please submit updates' in the event log,Percentage of 'SW-Awaiting EIC Decision' out of all 'First Look-Please submit updates',0.91,
