Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
Percentage of Declarations SUBMITTED by EMPLOYEE that lead to Declaration FINAL_APPROVED by SUPERVISOR,Percentage of 'Declaration FINAL_APPROVED by SUPERVISOR' out of all 'Declaration SUBMITTED by EMPLOYEE',0.97,
Number of Declaration FINAL_APPROVED by SUPERVISOR occurrences,Number of 'Declaration FINAL_APPROVED by SUPERVISOR' activities,10131,
Percentage of Declaration FINAL_APPROVED by SUPERVISOR out of all Declaration APPROVED by ADMINISTRATION,Percentage of 'Declaration FINAL_APPROVED by SUPERVISOR' out of all 'Declaration APPROVED by ADMINISTRATION',0.99,
Number of Declaration FINAL_APPROVED by SUPERVISOR that are preceded by Declaration APPROVED by ADMINISTRATION,Number of 'Declaration FINAL_APPROVED by SUPERVISOR' activities for cases where activity 'Declaration APPROVED by ADMINISTRATION' occurs,7924,
Percentage of Declaration FINAL_APPROVED by SUPERVISOR that result in Payment Handled,Percentage of 'Declaration FINAL_APPROVED by SUPERVISOR' out of all 'Payment Handled',1.0,
Percentage of Declaration FINAL_APPROVED by SUPERVISOR from all Declaration APPROVED by BUDGET OWNER,Percentage of 'Declaration FINAL_APPROVED by SUPERVISOR' out of all 'Declaration APPROVED by BUDGET OWNER',1.0,
Number of Declaration FINAL_APPROVED by SUPERVISOR with amounts above 100 euros,Number of 'Declaration FINAL_APPROVED by SUPERVISOR' activities > 100 where ma is the last value of case:Amount,2337,
Number of Declaration FINAL_APPROVED by SUPERVISOR grouped by case:BudgetNumber,Number of 'Declaration FINAL_APPROVED by SUPERVISOR' activities grouped by the last value of case:BudgetNumber,budget 86566:10131,"{""budget 86566"":10131}"
Percentage of Declaration APPROVED by ADMINISTRATION followed by Declaration FINAL_APPROVED by SUPERVISOR,Percentage of 'Declaration APPROVED by ADMINISTRATION' out of all 'Declaration FINAL_APPROVED by SUPERVISOR',0.79,
Number of Declaration FINAL_APPROVED by SUPERVISOR made per year,"ERROR: computing metric {'count': ""activity == 'Declaration FINAL_APPROVED by SUPERVISOR'"", 'aggregation': 'total', 'group_by': 'year'}",,
Percentage of Declaration FINAL_APPROVED by SUPERVISOR that are followed by Request Payment,Percentage of 'Declaration FINAL_APPROVED by SUPERVISOR' out of all 'Request Payment',1.0,
Number of Declaration FINAL_APPROVED by SUPERVISOR in relation to Declaration REJECTED by SUPERVISOR,Number of 'Declaration FINAL_APPROVED by SUPERVISOR' activities for cases where activity 'Declaration REJECTED by SUPERVISOR' occurs,206,
Percentage of Declaration FINAL_APPROVED by SUPERVISOR in the event log,Percentage of 'Declaration FINAL_APPROVED by SUPERVISOR' out of all cases,0.96,
Number of times Declaration FINAL_APPROVED by SUPERVISOR is performed,Number of 'Declaration FINAL_APPROVED by SUPERVISOR' activities,10131,
Percentage of Declaration FINAL_APPROVED by SUPERVISOR done after Declaration APPROVED by ADMINISTRATION,Percentage of 'Declaration FINAL_APPROVED by SUPERVISOR' out of all 'Declaration APPROVED by ADMINISTRATION',0.99,
Percentage of Declaration FINAL_APPROVED by SUPERVISOR with an increment in case:Amount,Percentage of 'Declaration FINAL_APPROVED by SUPERVISOR' out of all cases,1.0,
Percentage of Declaration FINAL_APPROVED by SUPERVISOR with appeal (if applicable),Percentage of 'Declaration FINAL_APPROVED by SUPERVISOR' out of all 'Appeal',,
Average number of Declaration FINAL_APPROVED by SUPERVISOR that are followed by Request Payment,the average of the number of times `ACTIVITY` == 'Declaration FINAL_APPROVED by SUPERVISOR' filtered by the function ma > 0 where ma is the number of times `ACTIVITY` == 'Request Payment',1.01,
Percentage of Declaration FINAL_APPROVED by SUPERVISOR with penalty (if applicable),Percentage of 'Declaration FINAL_APPROVED by SUPERVISOR' out of all 'Penalty',,
Average number of Declaration FINAL_APPROVED by SUPERVISOR in a month,"ERROR: computing metric {'count': ""activity == 'Declaration FINAL_APPROVED by SUPERVISOR'"", 'aggregation': 'average', 'group_by': 'month'}",,
Fraction of Declaration FINAL_APPROVED by SUPERVISOR that are dismissed (if applicable),Percentage of 'Declaration FINAL_APPROVED by SUPERVISOR' out of all 'Dismissed',,
Total Declaration FINAL_APPROVED by SUPERVISOR performed by SYSTEM,Number of 'Declaration FINAL_APPROVED by SUPERVISOR' activities == 'SYSTEM' where ma is the last value of org:resource,10102,
Ratio of Declaration FINAL_APPROVED by SUPERVISOR over Declaration APPROVED by ADMINISTRATION,Percentage of 'Declaration FINAL_APPROVED by SUPERVISOR' out of all 'Declaration APPROVED by ADMINISTRATION',0.99,
Occasions how often the Declaration FINAL_APPROVED by SUPERVISOR is performed in relation to total declarations,Percentage of 'Declaration FINAL_APPROVED by SUPERVISOR' out of all cases,0.96,
The ratio of Declaration FINAL_APPROVED by SUPERVISOR that are not eventually followed by Payment Handled,Percentage of 'Declaration FINAL_APPROVED by SUPERVISOR' out of all cases where 'Payment Handled' does not happen,0.96,
