Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
Frequency of 'Accepted + Wait - User' leading to 'Completed + In Call',Frequency of activity 'Accepted + Wait - User' for cases where activity 'Completed + In Call' occurs,112,
Percentage of 'Accepted + Wait - User' out of all 'Accepted + In Progress' activities,Percentage of 'Accepted + Wait - User' out of all 'Accepted + In Progress',0.33,
Number of 'Accepted + Wait - User' that are followed by 'Completed + Resolved',Frequency of activity 'Accepted + Wait - User' for cases where activity 'Completed + Resolved' occurs,2433,
Percentage of 'Accepted + Wait - User' followed by 'Completed + Closed' compared to 'Accepted + Wait - Vendor' followed by 'Completed + Closed',Percentage of 'Accepted + Wait - User' out of all 'Completed + Closed',0.43,
Frequency of 'Accepted + Wait - User' in the most common variant paths,Frequency of activity 'Accepted + Wait - User',2495,
Percentage of 'Accepted + Wait - User' activities that lead to a 'Completed + In Call' outcome,Percentage of 'Accepted + Wait - User' out of all 'Completed + In Call',0.06,
Number of times 'Accepted + Wait - User' occurs in cases with 'High' impact,Frequency of activity 'Accepted + Wait - User',83,
Frequency of 'Accepted + Wait - User' followed by any 'Completed' activity,Frequency of activity 'Accepted + Wait - User' for cases where activity 'Completed' occurs,,
Number of 'Accepted + Wait - User' activities made per year,"ERROR: computing metric {'count': ""activity == 'Accepted + Wait - User'"", 'metric_condition': '> 0', 'aggregation': 'total', 'group_by': 'year'}",,
Percentage of 'Accepted + Wait - User' that lead to case closure within the same day,Percentage of 'Accepted + Wait - User' out of all 'Completed + Closed',0.43,
Number of 'Accepted + Wait - User' in relation to 'Queued + Awaiting Assignment',Frequency of activity 'Accepted + Wait - User' for cases where activity 'Queued + Awaiting Assignment' occurs,2129,
Percentage of 'Accepted + Wait - User' in all activities,Percentage of 'Accepted + Wait - User' out of all cases,0.33,
Number of times 'Accepted + Wait - User' is performed in cases with 'Medium' impact,Frequency of activity 'Accepted + Wait - User',1224,
Percentage of 'Accepted + Wait - User' done after 'Accepted + Assigned',Percentage of 'Accepted + Wait - User' out of all 'Accepted + Assigned',0.6,
Average number of 'Accepted + Wait - User' activities in a month,"ERROR: computing metric {'count': ""activity == 'Accepted + Wait - User'"", 'metric_condition': '> 0', 'aggregation': 'average', 'group_by': 'month'}",,
Percentage of 'Accepted + Wait - User' activities with a follow-up within 24 hours,Percentage of 'Accepted + Wait - User' out of all cases,0.33,
Percentage of 'Accepted + Wait - User' leading to a change in 'product',Percentage of 'Accepted + Wait - User' out of all cases,0.33,
Average number of 'Accepted + Wait - User' that are followed by 'Completed + Resolved',Percentage of 'Accepted + Wait - User' out of all 'Completed + Resolved',0.43,
Percentage of 'Accepted + Wait - User' in cases with 'Low' impact,Percentage of 'Accepted + Wait - User' out of all cases,0.37,
Average number of 'Accepted + Wait - User' activities in cases exceeding expected resolution time,Percentage of 'Accepted + Wait - User' out of all cases,0.33,
Total 'Accepted + Wait - User' done by top 5 resources,Frequency of activity 'Accepted + Wait - User',,
Fraction of 'Accepted + Wait - User' that are part of cases exceeding expected resolution time,Percentage of 'Accepted + Wait - User' out of all cases,0.33,
Total 'Accepted + Wait - User' performed by resources in 'France',Frequency of activity 'Accepted + Wait - User',5,
Ratio of 'Accepted + Wait - User' over 'Accepted + Wait - Vendor',Percentage of 'Accepted + Wait - User' out of all 'Accepted + Wait - Vendor',0.43,
Occasions how often 'Accepted + Wait - User' is performed in high performance variants,Frequency of activity 'Accepted + Wait - User',2495,
The ratio of 'Accepted + Wait - User' activities that are part of the shortest resolution paths,Percentage of 'Accepted + Wait - User' out of all cases,0.33,
