Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
Percentage of 'Manuscript Export Succeeded' before 'Plagiarism Originality Report Completed',Percentage of 'Manuscript Export Succeeded' out of all cases where 'Plagiarism Originality Report Completed' does not happen,0.96,
Number of 'Manuscript Export Succeeded',Number of 'Manuscript Export Succeeded' activities,141.0,
Percentage of 'Manuscript Export Succeeded' out of all 'Original Manuscript Submission Confirmation',Percentage of 'Manuscript Export Succeeded' out of all 'Original Manuscript Submission Confirmation',1.0,
Number of 'Manuscript Export Succeeded' that are preceded by 'Original Manuscript Submission Confirmation',Number of 'Manuscript Export Succeeded' activities for cases where activity 'Original Manuscript Submission Confirmation' occurs,135.0,
Percentage of 'Manuscript Export Succeeded' that lead to 'SW-Checklist Completed',Percentage of 'Manuscript Export Succeeded' out of all 'SW-Checklist Completed',1.0,
Percentage of 'Manuscript Export Succeeded' from all 'SW-Awaiting Checklist Completion',Percentage of 'Manuscript Export Succeeded' out of all 'SW-Awaiting Checklist Completion',1.0,
Number of 'Manuscript Export Succeeded' followed by 'SW-AE Assign Reviewers',Number of 'Manuscript Export Succeeded' activities for cases where activity 'SW-AE Assign Reviewers' occurs,84.0,
Percentage of 'Manuscript Export Succeeded' by 'SYSTEM',Percentage of 'Manuscript Export Succeeded' out of all cases,0.97,
Percentage of 'Manuscript Export Succeeded' followed by 'SW-Reviewer Agreed',Percentage of 'Manuscript Export Succeeded' out of all 'SW-Reviewer Agreed',0.98,
"Number of 'Manuscript Export Succeeded' made per year,""ERROR: computing metric {'count': """"activity == 'Manuscript Export Succeeded'"""", 'aggregation': 'total', 'group_by': 'year'}"",,"
Percentage of 'Manuscript Export Succeeded' in relation to 'SW-Reviewer Agreed',Percentage of 'Manuscript Export Succeeded' out of all 'SW-Reviewer Agreed',0.98,
"Average number of 'Manuscript Export Succeeded' in a month,""ERROR: computing metric {'count': """"activity == 'Manuscript Export Succeeded'"""", 'aggregation': 'average', 'group_by': 'month'}"",,"
Total 'Manuscript Export Succeeded' done by 'SYSTEM',Number of 'Manuscript Export Succeeded' activities == 'SYSTEM' where ma is the last value of performer,132.0,
Ratio of 'Manuscript Export Succeeded' over 'SW-Checklist Completed',Percentage of 'Manuscript Export Succeeded' out of all 'SW-Checklist Completed',1.0,
Occasions how often 'Manuscript Export Succeeded' is performed before 'SW-AE Assign Reviewers',Number of 'Manuscript Export Succeeded' activities for cases where activity 'SW-AE Assign Reviewers' occurs,84.0,
Percentage of 'Manuscript Export Succeeded' that are followed by any activity other than 'Plagiarism Originality Report Completed',Percentage of 'Manuscript Export Succeeded' out of all cases where 'Plagiarism Originality Report Completed' does not happen,0.96,
Percentage of 'Manuscript Export Succeeded' leading to a 'SW-EIC Major Revision' decision,Percentage of 'Manuscript Export Succeeded' out of all 'SW-EIC Major Revision',1.0,
Frequency of 'Manuscript Export Succeeded' in the most common process variant,Percentage of 'Manuscript Export Succeeded' out of all cases,0.96,
Percentage of processes including 'Manuscript Export Succeeded' that reach 'SW-EIC Accept',Percentage of 'Manuscript Export Succeeded' out of all 'SW-EIC Accept',1.0,
