Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
Average time from Declaration SUBMITTED by EMPLOYEE to Declaration REJECTED by EMPLOYEE,The average of the duration between activity 'Declaration SUBMITTED by EMPLOYEE' and activity 'Declaration REJECTED by EMPLOYEE',"8 days, 19:18:16.757426",
Total time from Declaration REJECTED by EMPLOYEE to Declaration SUBMITTED by EMPLOYEE for re-submission,The sum of the duration between activity 'Declaration REJECTED by EMPLOYEE' and activity 'Declaration SUBMITTED by EMPLOYEE',"6030 days, 10:11:17",
Minimum time for a Declaration REJECTED by EMPLOYEE to be followed by Declaration SUBMITTED by EMPLOYEE,The minimum of the duration between activity 'Declaration REJECTED by EMPLOYEE' and activity 'Declaration SUBMITTED by EMPLOYEE',0:00:29,
Average time between Declaration REJECTED by EMPLOYEE and Declaration APPROVED by ADMINISTRATION,The average of the duration between activity 'Declaration REJECTED by EMPLOYEE' and activity 'Declaration APPROVED by ADMINISTRATION',"6 days, 2:08:17.277108",
Total resolution time of Declaration REJECTED by EMPLOYEE cases,The sum of the duration between activity Declaration REJECTED by EMPLOYEE and the end of the case,"14814 days, 7:41:12",
Average waiting time to the Declaration REJECTED by EMPLOYEE after Declaration FOR_APPROVAL by SUPERVISOR,The average of the duration between activity 'Declaration FOR_APPROVAL by SUPERVISOR' and activity 'Declaration REJECTED by EMPLOYEE',,
Total time it takes Declaration REJECTED by EMPLOYEE to be followed by Declaration APPROVED by PRE_APPROVER,The sum of the duration between activity 'Declaration REJECTED by EMPLOYEE' and activity 'Declaration APPROVED by PRE_APPROVER',"249 days, 6:28:25",
Minimum time it takes the Declaration REJECTED by EMPLOYEE to be done after Declaration REJECTED by ADMINISTRATION,The minimum of the duration between activity 'Declaration REJECTED by ADMINISTRATION' and activity 'Declaration REJECTED by EMPLOYEE',0:01:12,
Average time for Declaration REJECTED by EMPLOYEE to be followed by a new Declaration SUBMITTED by EMPLOYEE,The average of the duration between activity 'Declaration REJECTED by EMPLOYEE' and activity 'Declaration SUBMITTED by EMPLOYEE',"6 days, 6:36:13.441207",
Average time from Declaration REJECTED by EMPLOYEE to Request Payment in cases where it eventually gets approved,The average of the duration between activity 'Declaration REJECTED by EMPLOYEE' and activity 'Request Payment',"11 days, 11:08:46.436285",
Minimum resolution time of Declaration REJECTED by EMPLOYEE before Declaration FINAL_APPROVED by SUPERVISOR,The minimum of the duration between activity 'Declaration REJECTED by EMPLOYEE' and activity 'Declaration FINAL_APPROVED by SUPERVISOR',0:01:18,
Average time between Declaration REJECTED by EMPLOYEE and Declaration REJECTED by SUPERVISOR,The average of the duration between activity 'Declaration REJECTED by EMPLOYEE' and activity 'Declaration REJECTED by SUPERVISOR',"5 days, 16:09:31.103448",
Total time from Declaration REJECTED by EMPLOYEE to Declaration APPROVED by BUDGET OWNER in cases where it gets re-approved,The sum of the duration between activity 'Declaration REJECTED by EMPLOYEE' and activity 'Declaration APPROVED by BUDGET OWNER',"2456 days, 22:13:33",
Average time for Declaration REJECTED by EMPLOYEE to be followed by Declaration SAVED by EMPLOYEE for modifications,The average of the duration between activity 'Declaration REJECTED by EMPLOYEE' and activity 'Declaration SAVED by EMPLOYEE',,
