Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
Average time from 'Declaration SUBMITTED by EMPLOYEE' to 'Declaration REJECTED by MISSING',The average of the duration between activity 'Declaration SUBMITTED by EMPLOYEE' and activity 'Declaration REJECTED by MISSING',16 days 23:23:36.954023,
Average time from 'Declaration REJECTED by MISSING' to 'Request Payment',The average of the duration between activity 'Declaration REJECTED by MISSING' and activity 'Request Payment',13 days 04:21:13.719298,
Total time for 'Declaration REJECTED by MISSING' in the process,The sum of the duration between activity Declaration REJECTED by MISSING and the end of the case,955 days 21:23:15,
Average resolution time of 'Declaration REJECTED by MISSING',The average of the duration between activity Declaration REJECTED by MISSING and the end of the case,10 days 23:41:38.793103,
Minimum time from 'Declaration REJECTED by MISSING' to 'Declaration SUBMITTED by EMPLOYEE',The minimum of the duration between activity 'Declaration REJECTED by MISSING' and activity 'Declaration SUBMITTED by EMPLOYEE',0 days 00:03:03,
Average time it takes 'Declaration REJECTED by MISSING' after 'Declaration FINAL_APPROVED by SUPERVISOR',The average of the duration between activity 'Declaration FINAL_APPROVED by SUPERVISOR' and activity 'Declaration REJECTED by MISSING',11 days 23:34:27.447059,
Total resolution time of cases involving 'Declaration REJECTED by MISSING',The sum of the duration between activity Declaration REJECTED by MISSING and the end of the case,955 days 21:23:15,
Minimum resolution time of 'Declaration REJECTED by MISSING',The minimum of the duration between activity Declaration REJECTED by MISSING and the end of the case,0 days 00:00:00,
Average time between 'Declaration REJECTED by MISSING' and 'Payment Handled',The average of the duration between activity 'Declaration REJECTED by MISSING' and activity 'Payment Handled',16 days 18:03:17.385965,
Total time between 'Declaration REJECTED by MISSING' and the next activity in the process,The sum of the duration between activity Declaration REJECTED by MISSING and the end of the case,955 days 21:23:15,
Average time from 'Declaration REJECTED by MISSING' to 'Declaration APPROVED by ADMINISTRATION',The average of the duration between activity 'Declaration REJECTED by MISSING' and activity 'Declaration APPROVED by ADMINISTRATION',0 days 08:03:42.666667,
Total time from 'Declaration REJECTED by MISSING' to 'Declaration FINAL_APPROVED by SUPERVISOR',The sum of the duration between activity 'Declaration REJECTED by MISSING' and activity 'Declaration FINAL_APPROVED by SUPERVISOR',557 days 13:06:22,
Minimum time it takes 'Declaration REJECTED by MISSING' to be followed by any activity,The minimum of the duration between activity Declaration REJECTED by MISSING and the end of the case,0 days 00:00:00,
Average time for a case to be resolved after 'Declaration REJECTED by MISSING',The average of the duration between activity Declaration REJECTED by MISSING and the end of the case,10 days 23:41:38.793103,
Total time for all instances of 'Declaration REJECTED by MISSING' in the log,The sum of the duration between activity Declaration REJECTED by MISSING and the end of the case,955 days 21:23:15,
Average time from 'Declaration REJECTED by MISSING' to 'Declaration APPROVED by BUDGET OWNER',The average of the duration between activity 'Declaration REJECTED by MISSING' and activity 'Declaration APPROVED by BUDGET OWNER',7 days 20:25:28,
Minimum time from 'Declaration REJECTED by MISSING' to 'Declaration REJECTED by EMPLOYEE',The minimum of the duration between activity 'Declaration REJECTED by MISSING' and activity 'Declaration REJECTED by EMPLOYEE',0 days 08:34:30,
Average time from 'Declaration REJECTED by MISSING' to 'Declaration FOR_APPROVAL by SUPERVISOR',The average of the duration between activity 'Declaration REJECTED by MISSING' and activity 'Declaration FOR_APPROVAL by SUPERVISOR',,
