Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
Average time from 'Declaration FINAL_APPROVED by SUPERVISOR' to 'Request Payment',The average of the duration between activity 'Declaration FINAL_APPROVED by SUPERVISOR' and activity 'Request Payment',3 days 07:02:46.683005,
Median time from 'Declaration SUBMITTED by EMPLOYEE' to 'Request Payment',"ERROR: computing metric {'begin': ""activity == 'Declaration SUBMITTED by EMPLOYEE'"", 'end': ""activity == 'Request Payment'"", 'aggregation': 'median'}",,
Maximum time for 'Request Payment' to be processed after 'Declaration APPROVED by ADMINISTRATION',The maximum of the duration between activity 'Declaration APPROVED by ADMINISTRATION' and activity 'Request Payment',146 days 00:00:44,
Variance in processing time for 'Request Payment' across different departments,"ERROR: computing metric {'begin': ""activity == 'Request Payment'"", 'end': '', 'aggregation': 'variance', 'group_by': 'org:resource'}",,
Average delay in 'Request Payment' processing from expected time,"ERROR: computing metric {'begin': ""activity == 'Request Payment'"", 'end': '', 'aggregation': 'average', 'metric_condition': '> expected_time'}",,
Time difference between earliest and latest 'Request Payment' in a month,"ERROR: computing metric {'begin': ""activity == 'Request Payment'"", 'end': '', 'aggregation': 'difference', 'group_by': 'month'}",,
Average processing time for 'Request Payment' in cases where 'Declaration REJECTED by ADMINISTRATION' occurred,The average of the duration between activity 'Request Payment' and the end of case where activity 'Declaration REJECTED by ADMINISTRATION occurs,3 days 12:23:58.639937,
Total time spent in 'Request Payment' phase for all cases in a year,"ERROR: computing metric {'begin': ""activity == 'Request Payment'"", 'end': '', 'aggregation': 'total', 'group_by': 'year'}",,
Minimum processing time observed for 'Request Payment' after 'Declaration APPROVED by BUDGET OWNER',The minimum of the duration between activity 'Declaration APPROVED by BUDGET OWNER' and activity 'Request Payment',0 days 00:02:19,
Longest waiting time before 'Request Payment' following 'Declaration FINAL_APPROVED by SUPERVISOR',The maximum of the duration between activity 'Declaration FINAL_APPROVED by SUPERVISOR' and activity 'Request Payment',308 days 02:21:57,
Average time from 'Request Payment' to 'Payment Handled',The average of the duration between activity 'Request Payment' and activity 'Payment Handled',3 days 13:47:24.830228,
Comparison of average time for 'Request Payment' between domestic and international travel claims,"ERROR: computing metric {'begin': ""activity == 'Request Payment'"", 'end': '', 'aggregation': 'average', 'group_by': 'case:TravelType', 'filter': ""case:TravelType == 'domestic' || case:TravelType == 'international'""}",,
Standard deviation of time for 'Request Payment' across all cases,"ERROR: computing metric {'begin': ""activity == 'Request Payment'"", 'end': '', 'aggregation': 'standard_deviation'}",,
Average time reduction in 'Request Payment' processing after process optimization initiatives,"ERROR: computing metric {'begin': ""activity == 'Request Payment'"", 'end': '', 'aggregation': 'average', 'metric_condition': '< before_optimization'}",,
Correlation between 'Request Payment' processing time and claim amount,"ERROR: computing metric {'begin': ""activity == 'Request Payment'"", 'end': '', 'aggregation': 'correlation', 'group_by': 'case:Amount'}",,
Average time for 'Request Payment' during peak travel seasons vs off-peak seasons,"ERROR: computing metric {'begin': ""activity == 'Request Payment'"", 'end': '', 'aggregation': 'average', 'group_by': 'case:TravelSeason', 'filter': ""case:TravelSeason == 'peak' || case:TravelSeason == 'off-peak'""}",,
Total elapsed time for 'Request Payment' in cases requiring director approval vs. those that do not,"ERROR: computing metric {'begin': ""activity == 'Request Payment'"", 'end': '', 'aggregation': 'total', 'group_by': 'case:DirectorApproval', 'filter': ""case:DirectorApproval == 'required' || case:DirectorApproval == 'not_required'""}",,
Average time from 'Declaration APPROVED by PRE_APPROVER' to 'Request Payment' for pre-paid travel costs,The average of the duration between activity 'Declaration APPROVED by PRE_APPROVER' and activity 'Request Payment',6 days 06:45:13.804545,
Distribution of 'Request Payment' processing times across different years (2017 vs 2018),"ERROR: computing metric {'begin': ""activity == 'Request Payment'"", 'end': '', 'aggregation': 'distribution', 'group_by': 'year', 'filter': 'year == 2017 || year == 2018'}",,
Time efficiency improvement in 'Request Payment' processing from 2017 to 2018,"ERROR: computing metric {'begin': ""activity == 'Request Payment'"", 'end': '', 'aggregation': 'improvement', 'group_by': 'year', 'filter': 'year == 2017 || year == 2018'}",,
