Name;Metric;Value;Agrupation
Frequency of 'Declaration REJECTED by MISSING' followed by 'Request Payment';Frequency of activity 'Declaration REJECTED by MISSING' for cases where activity 'Request Payment' occurs;60.0;
Percentage of 'Declaration REJECTED by MISSING' out of all 'Declaration SUBMITTED by EMPLOYEE';Percentage of 'Declaration REJECTED by MISSING' out of all 'Declaration SUBMITTED by EMPLOYEE';0.01;
Number of 'Declaration REJECTED by MISSING' that are preceded by 'Declaration FINAL_APPROVED by SUPERVISOR';Number of 'Declaration REJECTED by MISSING' activities for cases where activity 'Declaration FINAL_APPROVED by SUPERVISOR' occurs;89.0;
Percentage of 'Declaration REJECTED by MISSING' that lead to 'Payment Handled';Percentage of 'Declaration REJECTED by MISSING' out of all 'Payment Handled';0.01;
Frequency of 'Declaration REJECTED by MISSING' in relation to 'Declaration REJECTED by PRE_APPROVER';Frequency of activity 'Declaration REJECTED by MISSING' for cases where activity 'Declaration REJECTED by PRE_APPROVER' occurs;4.0;
Percentage of cases with 'Declaration REJECTED by MISSING' that also have 'Declaration APPROVED by ADMINISTRATION';Percentage of 'Declaration REJECTED by MISSING' out of all 'Declaration APPROVED by ADMINISTRATION';0.0;
Number of 'Declaration REJECTED by MISSING' with amounts above 100 euros;Number of 'Declaration REJECTED by MISSING' activities > 100 where ma is the last value of case:Amount;34.0;
Frequency of 'Declaration REJECTED by MISSING' in cases that were eventually approved ('Declaration FINAL_APPROVED by SUPERVISOR');Frequency of activity 'Declaration REJECTED by MISSING' for cases where activity 'Declaration FINAL_APPROVED by SUPERVISOR' occurs;85.0;
Percentage of 'Declaration REJECTED by MISSING' in the process variants that include 'Declaration APPROVED by BUDGET OWNER';Percentage of 'Declaration REJECTED by MISSING' out of all 'Declaration APPROVED by BUDGET OWNER';0.0;
Percentage of 'Declaration REJECTED by MISSING' that are resolved without leading to 'Declaration REJECTED by PRE_APPROVER';Percentage of 'Declaration REJECTED by MISSING' out of all cases where 'Declaration REJECTED by PRE_APPROVER' does not happen;0.01;
Frequency of 'Declaration REJECTED by MISSING' in cases with a total amount below 100 euros;Frequency of activity 'Declaration REJECTED by MISSING';55.0;
Percentage of 'Declaration REJECTED by MISSING' in cases that require director approval;Percentage of 'Declaration REJECTED by MISSING' out of all cases;;
Number of 'Declaration REJECTED by MISSING' followed by 'Declaration SUBMITTED by EMPLOYEE';Number of 'Declaration REJECTED by MISSING' activities for cases where activity 'Declaration SUBMITTED by EMPLOYEE' occurs;91.0;
Percentage of 'Declaration REJECTED by MISSING' in cases that were rejected by other roles before 'MISSING';Percentage of 'Declaration REJECTED by MISSING' out of all cases where 'Declaration REJECTED by MISSING' does not happen;0.01;
Frequency of 'Declaration REJECTED by MISSING' in relation to total declarations submitted after a trip;Frequency of activity 'Declaration REJECTED by MISSING' for cases where activity 'Declaration SUBMITTED by EMPLOYEE' occurs;87.0;
Percentage of 'Declaration REJECTED by MISSING' in cases that end with 'Payment Handled' without further rejections;Percentage of 'Declaration REJECTED by MISSING' out of all 'Payment Handled';0.01;
Number of 'Declaration REJECTED by MISSING' in cases that involve domestic trips;Number of 'Declaration REJECTED by MISSING' activities;91.0;
Percentage of 'Declaration REJECTED by MISSING' in cases that were submitted for reimbursement within two months after the trip;Percentage of 'Declaration REJECTED by MISSING' out of all cases;0.01;
Percentage of 'Declaration REJECTED by MISSING' by month to identify seasonal trends;Percentage of 'Declaration REJECTED by MISSING' out of all cases;0.01;
Number of 'Declaration REJECTED by MISSING' per year to observe annual trends;Number of 'Declaration REJECTED by MISSING' activities;91.0;
