Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
Percentage of Declaration FOR_APPROVAL by ADMINISTRATION before Declaration FINAL_APPROVED by SUPERVISOR,"ERROR: computing metric {'count': 'activity == Declaration FOR_APPROVAL by ADMINISTRATION', 'metric_condition': '< time:timestamp', 'aggregation': 'percentage', 'filter': 'activity == Declaration FINAL_APPROVED by SUPERVISOR', 'group_by': 'time:timestamp'}",,
Number of Declaration FOR_APPROVAL by ADMINISTRATION,"ERROR: computing metric {'count': 'activity == Declaration FOR_APPROVAL by ADMINISTRATION', 'aggregation': 'total'}",,
Percentage of Declaration FOR_APPROVAL by ADMINISTRATION out of all Declaration FINAL_APPROVED by SUPERVISOR,"ERROR: computing metric {'count': 'activity == Declaration FOR_APPROVAL by ADMINISTRATION', 'metric_condition': '> 0', 'aggregation': 'percentage', 'filter': 'activity == Declaration FINAL_APPROVED by SUPERVISOR'}",,
Percentage of Declaration FOR_APPROVAL by ADMINISTRATION that are not rejected,"ERROR: computing metric {'count': 'activity == Declaration FOR_APPROVAL by ADMINISTRATION', 'metric_condition': '> 0', 'aggregation': 'percentage', 'filter': 'activity != Declaration REJECTED by ADMINISTRATION'}",,
Percentage of Declaration FOR_APPROVAL by ADMINISTRATION by STAFF MEMBER,"ERROR: computing metric {'count': 'activity == Declaration FOR_APPROVAL by ADMINISTRATION', 'metric_condition': '> 0', 'aggregation': 'percentage', 'filter': 'org:role == STAFF MEMBER'}",,
Number of Declaration FOR_APPROVAL by ADMINISTRATION per month,"ERROR: computing metric {'count': 'activity == Declaration FOR_APPROVAL by ADMINISTRATION', 'aggregation': 'total', 'group_by': 'month'}",,
Percentage of declarations that are not eventually approved by Declaration FOR_APPROVAL by ADMINISTRATION,"ERROR: computing metric {'count': 'activity == Declaration FOR_APPROVAL by ADMINISTRATION', 'metric_condition': '> 0', 'aggregation': 'percentage', 'filter': 'activity != Declaration FINAL_APPROVED by SUPERVISOR'}",,
Fraction of Declaration FOR_APPROVAL by ADMINISTRATION followed by Declaration FINAL_APPROVED by SUPERVISOR,"ERROR: computing metric {'count': 'activity == Declaration FOR_APPROVAL by ADMINISTRATION', 'metric_condition': '> 0', 'aggregation': 'percentage', 'filter': 'activity == Declaration FINAL_APPROVED by SUPERVISOR', 'group_by': 'time:timestamp'}",,
Percentage of Declaration FOR_APPROVAL by ADMINISTRATION preceded by Declaration SUBMITTED by EMPLOYEE,"ERROR: computing metric {'count': 'activity == Declaration FOR_APPROVAL by ADMINISTRATION', 'metric_condition': '> 0', 'aggregation': 'percentage', 'filter': 'activity == Declaration SUBMITTED by EMPLOYEE', 'group_by': 'time:timestamp'}",,
Total Declaration FOR_APPROVAL by ADMINISTRATION performed by ADMINISTRATION,"ERROR: computing metric {'count': 'activity == Declaration FOR_APPROVAL by ADMINISTRATION', 'aggregation': 'total', 'filter': 'org:role == ADMINISTRATION'}",,
Percentage of paths Declaration SUBMITTED by EMPLOYEE -> Declaration FOR_APPROVAL by ADMINISTRATION -> Declaration FINAL_APPROVED by SUPERVISOR,"ERROR: computing metric {'count': 'activity == Declaration FOR_APPROVAL by ADMINISTRATION', 'metric_condition': '> 0', 'aggregation': 'percentage', 'filter': 'activity == Declaration SUBMITTED by EMPLOYEE', 'group_by': 'time:timestamp'}",,
Number of Declaration FOR APPROVAL by ADMINISTRATION in relation to the total number of Declaration FINAL_APPROVED by SUPERVISOR,"ERROR: computing metric {'count': 'activity == Declaration FOR_APPROVAL by ADMINISTRATION', 'aggregation': 'percentage', 'filter': 'activity == Declaration FINAL_APPROVED by SUPERVISOR'}",,
Percentage of Declaration FOR APPROVAL by ADMINISTRATION that are made by employees who have submitted also a Declaration FOR APPROVAL by PRE_APPROVER,"ERROR: computing metric {'count': 'activity == Declaration FOR_APPROVAL by ADMINISTRATION', 'metric_condition': '> 0', 'aggregation': 'percentage', 'filter': 'activity == Declaration FOR_APPROVAL by PRE_APPROVER'}",,
Average number of Declaration FOR_APPROVAL by ADMINISTRATION in a quarter,"ERROR: computing metric {'count': 'activity == Declaration FOR_APPROVAL by ADMINISTRATION', 'aggregation': 'average', 'group_by': 'quarter'}",,
Percentage of Declaration FOR_APPROVAL by ADMINISTRATION after Declaration REJECTED by PRE_APPROVER,"ERROR: computing metric {'count': 'activity == Declaration FOR_APPROVAL by ADMINISTRATION', 'metric_condition': '> 0', 'aggregation': 'percentage', 'filter': 'activity == Declaration REJECTED by PRE_APPROVER', 'group_by': 'time:timestamp'}",,
Occasions how often the Declaration FOR_APPROVAL by ADMINISTRATION is performed after Declaration SUBMITTED by EMPLOYEE,"ERROR: computing metric {'count': 'activity == Declaration FOR_APPROVAL by ADMINISTRATION', 'metric_condition': '> 0', 'aggregation': 'percentage', 'filter': 'activity == Declaration SUBMITTED by EMPLOYEE', 'group_by': 'time:timestamp'}",,
Percentage of Declaration FOR_APPROVAL by ADMINISTRATION when employee position is not mentioned in declaration,"ERROR: computing metric {'count': 'activity == Declaration FOR_APPROVAL by ADMINISTRATION', 'metric_condition': '> 0', 'aggregation': 'percentage', 'filter': 'org:role == null'}",,
Number of Declaration FOR_APPROVAL by ADMINISTRATION that had payment handled after its approval,"ERROR: computing metric {'count': 'activity == Declaration FOR_APPROVAL by ADMINISTRATION', 'aggregation': 'total', 'filter': 'activity == Payment Handled', 'group_by': 'time:timestamp'}",,
Percentage of Declaration FOR_APPROVAL by ADMINISTRATION where the claimant is a TRAVEL COSTS DECLARANT,"ERROR: computing metric {'count': 'activity == Declaration FOR_APPROVAL by ADMINISTRATION', 'metric_condition': '> 0', 'aggregation': 'percentage', 'filter': 'case:DeclarationNumber == TRAVEL COSTS DECLARANT'}",,
Ratio of Declaration FOR_APPROVAL by PRE_APPROVER over Declaration FOR_APPROVAL by ADMINISTRATION,"ERROR: computing metric {'count': 'activity == Declaration FOR_APPROVAL by ADMINISTRATION', 'aggregation': 'percentage', 'filter': 'activity == Declaration FOR_APPROVAL by PRE_APPROVER'}",,
