Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
Percentage of \Accepted + Wait - Implementation\ out of all \Completed + Resolved\,Percentage of 'Accepted + Wait - Implementation' out of all 'Completed + Resolved',0.07,
Number of \Accepted + Wait - Implementation\ occurrences in the event log,Number of 'Accepted + Wait - Implementation' activities,473,
Frequency of \Accepted + Wait - Implementation\ followed by \Completed + Closed\,Percentage of 'Accepted + Wait - Implementation' out of all 'Completed + Closed',0.07,
Number of \Accepted + Wait - Implementation\ that are preceded by \Queued + Awaiting Assignment\,Number of 'Accepted + Wait - Implementation' activities for cases where activity 'Queued + Awaiting Assignment' occurs,415,
Percentage of \Accepted + Wait - Implementation\ followed by \Accepted + In Progress\,Percentage of 'Accepted + Wait - Implementation' out of all 'Accepted + In Progress',0.05,
Average number of \Accepted + Wait - Implementation\ per month,"ERROR: computing metric {'count': ""activity == 'Accepted + Wait - Implementation'"", 'aggregation': 'average', 'group_by': 'month'}",,
Frequency of \Accepted + Wait - Implementation\ in the top 5 most common process variants,Percentage of 'Accepted + Wait - Implementation' out of all cases,0.05,
Percentage of \Accepted + Wait - Implementation\ in incidents with \High\ impact compared to those with \Medium\ or \Low\ impact,Percentage of 'Accepted + Wait - Implementation' out of all cases,0.11,
Number of \Accepted + Wait - Implementation\ made per year,"ERROR: computing metric {'count': ""activity == 'Accepted + Wait - Implementation'"", 'aggregation': 'total', 'group_by': 'year'}",,
Percentage of \Accepted + Wait - Implementation\ that lead to a \Completed + Cancelled\ status,Percentage of 'Accepted + Wait - Implementation' out of all 'Completed + Cancelled',0.0,
Ratio of \Accepted + Wait - Implementation\ over \Accepted + Wait - User\,Percentage of 'Accepted + Wait - Implementation' out of all 'Accepted + Wait - User',0.08,
Frequency of \Accepted + Wait - Implementation\ in cases involving \PROD582\ product,Percentage of 'Accepted + Wait - Implementation' out of all cases,0.0,
Percentage of \Accepted + Wait - Implementation\ by \resource\ compared to \Accepted + Assigned\ by the same \resource\,Percentage of 'Accepted + Wait - Implementation' out of all 'Accepted + Assigned',0.11,
Number of times \Accepted + Wait - Implementation\ is performed before \Completed + Resolved\,Number of 'Accepted + Wait - Implementation' activities for cases where activity 'Completed + Resolved' occurs,462,
Percentage of \Accepted + Wait - Implementation\ with a performance above the average performance of all activities,Percentage of 'Accepted + Wait - Implementation' out of all cases,0.05,
Frequency of \Accepted + Wait - Implementation\ in cases originating from \France\ compared to those from \Brazil\,Percentage of 'Accepted + Wait - Implementation' out of all cases,0.05,
Percentage of \Accepted + Wait - Implementation\ in the first quarter of the year compared to the fourth quarter,"ERROR: computing metric {'count': ""activity == 'Accepted + Wait - Implementation'"", 'metric_condition': '> 0', 'aggregation': 'percentage', 'group_by': 'quarter'}",,
Number of \Accepted + Wait - Implementation\ that are part of incidents resolved within 30 days,Number of 'Accepted + Wait - Implementation' activities,473,
