Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
Percentage of Accepted + Wait - User before Completed + In Call,Percentage of 'Accepted + Wait - User' out of all 'Completed + In Call',0.06,
Number of Accepted + Wait - User,Number of 'Accepted + Wait - User' activities,3883,
Percentage of Accepted + Wait - User out of all Accepted + In Progress,Percentage of 'Accepted + Wait - User' out of all 'Accepted + In Progress',0.33,
Number of Accepted + Wait - User that are preceded by Accepted + In Progress,Frequency of activity 'Accepted + Wait - User' for cases where activity 'Accepted + In Progress' occurs,2486,
Percentage of Accepted + Wait - User that are not dismissed,Percentage of 'Accepted + Wait - User' out of all cases where 'Dismissed' does not happen,0.33,
Percentage of Accepted + Wait - User from all Accepted + In Progress,Percentage of 'Accepted + Wait - User' out of all 'Accepted + In Progress',0.33,
Number of Accepted + Wait - User with amounts above 100 euros,Number of 'Accepted + Wait - User' activities,3883,
Percentage of Accepted + Wait - User by Frederic,Percentage of 'Accepted + Wait - User' out of all cases,,
Percentage of Accepted + Wait - User followed by Completed + In Call,Percentage of 'Accepted + Wait - User' out of all 'Completed + In Call',0.06,
Number of Accepted + Wait - User made per year,"ERROR: computing metric {'count': ""activity == 'Accepted + Wait - User'"", 'aggregation': 'total', 'group_by': 'year'}",,
Percentage of Accepted + Wait - User that are rejected,Percentage of 'Accepted + Wait - User' out of all 'Rejected',,
Number of Accepted + Wait - User in relation to Accepted + In Progress,Number of 'Accepted + Wait - User' activities for cases where activity 'Accepted + In Progress' occurs,3874,
Percentage of Accepted + Wait - User,Percentage of 'Accepted + Wait - User' out of all cases,0.33,
Number of times Accepted + Wait - User is performed,Number of 'Accepted + Wait - User' activities,3883,
Percentage of Accepted + Wait - User done after Accepted + In Progress,Percentage of 'Accepted + Wait - User' out of all 'Accepted + In Progress',0.33,
Average number of Accepted + Wait - User,the average of the number of times `ACTIVITY` == 'Accepted + Wait - User',0.51,
Percentage of Accepted + Wait - User with an increment,Percentage of 'Accepted + Wait - User' out of all cases,0.33,
Percentage of Accepted + Wait - User with appeal,Percentage of 'Accepted + Wait - User' out of all cases,0.33,
Average number of Accepted + Wait - User that are followed by Completed + In Call,the average of the number of times `ACTIVITY` == 'Accepted + Wait - User' filtered by the function ma > 0 where ma is the number of times `ACTIVITY` == 'Completed + In Call',0.08,
Percentage of Accepted + Wait - User with penalty,Percentage of 'Accepted + Wait - User' out of all cases,0.33,
Average number of Accepted + Wait - User in a month,"ERROR: computing metric {'count': ""activity == 'Accepted + Wait - User'"", 'aggregation': 'average', 'group_by': 'month'}",,
Total Accepted + Wait - User done by Frederic,Number of 'Accepted + Wait - User' activities == 'Frederic' where ma is the last value of org:resource,,
Fraction of Accepted + Wait - User that are dismissed,Percentage of 'Accepted + Wait - User' out of all 'Dismissed',,
Total Accepted + Wait - User performed by Frederic,Number of 'Accepted + Wait - User' activities == 'Frederic' where ma is the last value of org:resource,,
Ratio of Accepted + Wait - User over Accepted + In Progress,Percentage of 'Accepted + Wait - User' out of all 'Accepted + In Progress',0.33,
Occasions how often the Accepted + Wait - User is performed,Number of 'Accepted + Wait - User' activities,3883,
The ratio of Accepted + Wait - User that are not eventually performed,Percentage of 'Accepted + Wait - User' out of all cases where 'Completed' does not happen,0.33,
Percentage of Accepted + Wait - User in variants that include Completed + In Call,Percentage of 'Accepted + Wait - User' out of all 'Completed + In Call',0.06,
Frequency of Accepted + Wait - User in variants that end with Completed + Resolved -> Completed + Closed,Percentage of 'Accepted + Wait - User' out of all 'Completed + Resolved',0.43,
Percentage of Accepted + Wait - User compared to Queued + Awaiting Assignment in the same process variants,Percentage of 'Accepted + Wait - User' out of all 'Queued + Awaiting Assignment',0.47,
Number of Accepted + Wait - User in variants that involve Anne Claire,Number of 'Accepted + Wait - User' activities == 'Anne Claire' where ma is the last value of org:resource,,
Percentage of Accepted + Wait - User in variants with performance above 500000,Percentage of 'Accepted + Wait - User' out of all cases,0.33,
Frequency of Accepted + Wait - User in variants with the highest frequency,Percentage of 'Accepted + Wait - User' out of all cases,0.33,
Percentage of Accepted + Wait - User in variants that include both Accepted + In Progress and Completed + In Call,Percentage of 'Accepted + Wait - User' out of all 'Accepted + In Progress',0.33,
Number of Accepted + Wait - User in variants that involve multiple countries,"ERROR: computing metric {'count': ""activity == 'Accepted + Wait - User'"", 'aggregation': 'total', 'filter': 'organization country != null'}",,
Percentage of Accepted + Wait - User in variants with the highest performance,Percentage of 'Accepted + Wait - User' out of all cases,0.33,
Frequency of Accepted + Wait - User in variants that include Accepted + Wait - Implementation,Percentage of 'Accepted + Wait - User' out of all 'Accepted + Wait - Implementation',0.49,
Percentage of Accepted + Wait - User in variants that include Accepted + Assigned,Percentage of 'Accepted + Wait - User' out of all 'Accepted + Assigned',0.6,
