Name;Metric;Value;Agrupation
Average time from SW-Reviewer Declined to the next occurrence of SW-AE Assign Reviewers;The average of the duration between activity 'SW-Reviewer Declined' and activity 'SW-AE Assign Reviewers';17.09 days;
Total time between SW-Reviewer Declined and SW-Reviewer Agreed within the same case;The sum of the duration between activity 'SW-Reviewer Declined' and activity 'SW-Reviewer Agreed';459.28 days;
Minimum time it takes to perform SW-AE Assign Reviewers after SW-Reviewer Declined;The minimum of the duration between activity 'SW-Reviewer Declined' and activity 'SW-AE Assign Reviewers';9.53 hours;
Average cycle time of SW-Reviewer Declined when followed by Reviewer Invitation Reminder 1;The average of the duration between activity 'SW-Reviewer Declined' and activity 'Reviewer Invitation Reminder 1';86.90 days;
Total elapsed time from SW-Initial Reviewer Selection to SW-Reviewer Declined in variants that include repeated reviewer assignment attempts;The sum of the duration between activity 'SW-Initial Reviewer Selection' and activity 'SW-Reviewer Declined';551.85 days;
Average time from SW-Reviewer Declined to SW-Reviewer Selection is now due;The average of the duration between activity 'SW-Reviewer Declined' and activity 'SW-Reviewer Selection is now due';2.69 days;
Minimum time between consecutive occurrences of SW-Reviewer Declined in the same case;The minimum of the duration between activity 'SW-Reviewer Declined' and activity 'SW-Reviewer Declined';0.00 seconds;
Average time it takes to reach SW-Awaiting EIC Decision after the last occurrence of SW-Reviewer Declined in a case;The average of the duration between activity 'SW-Reviewer Declined' and activity 'SW-Awaiting EIC Decision';72.36 days;
Total time from SW-Reviewer Declined to SW-Reviewer Agreed in cases where at least three reviewer invitations were sent;The sum of the duration between activity 'SW-Reviewer Declined' and activity 'SW-Reviewer Agreed';442.75 days;
Average time from SW-Reviewer Declined to Assign a Different Editor when editor reassignment occurs;The average of the duration between activity 'SW-Reviewer Declined' and activity 'Assign a Different Editor';165.85 days;
Minimum time from SW-Reviewer Declined to Unassign Reviewer in variants involving reviewer unassignment;The minimum of the duration between activity 'SW-Reviewer Declined' and activity 'Unassign Reviewer';352.79 days;
Average time between SW-Reviewer Declined and SW-Reviewer No Response in cases with no further reviewer agreement;The average of the duration between activity 'SW-Reviewer Declined' and activity 'SW-Reviewer No Response';50.83 days;
Total time from SW-Reviewer Declined to SW-AE Recommendation overdue in delayed recommendation paths;The sum of the duration between activity 'SW-Reviewer Declined' and activity 'SW-AE Recommendation overdue';150.54 days;
Average cycle time of SW-Reviewer Declined in variants leading to SW-EIC Major Revision versus SW-EIC Reject;The average of the duration between activity 'SW-Reviewer Declined' and activity 'SW-EIC Major Revision';87.55 days;
Minimum time from SW-Reviewer Declined to the subsequent Revised Manuscript Submission Confirmation in multi-round revision cases;The minimum of the duration between activity 'SW-Reviewer Declined' and activity 'Revised Manuscript Submission Confirmation';70.72 days;
