Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
Percentage of \Accepted + Assigned\ activities followed by \Completed + Resolved\,Percentage of 'Accepted + Assigned' out of all 'Completed + Resolved',0.32,
Number of \Accepted + Assigned\ activities that precede \Accepted + In Progress\,Number of 'Accepted + Assigned' activities for cases where activity 'Accepted + In Progress' occurs,3117,
Frequency of \Accepted + Assigned\ in relation to \Queued + Awaiting Assignment\,Percentage of 'Accepted + Assigned' out of all 'Queued + Awaiting Assignment',0.38,
Percentage of \Accepted + Assigned\ activities out of all \Completed + Closed\ activities,Percentage of 'Accepted + Assigned' out of all 'Completed + Closed',0.32,
Frequency of \Accepted + Assigned\ to \Accepted + Wait - User\ transitions,Percentage of 'Accepted + Assigned' out of all 'Accepted + Wait - User',0.44,
Number of \Accepted + Assigned\ activities made per year,"ERROR: computing metric {'count': ""activity == 'Accepted + Assigned'"", 'aggregation': 'total', 'group_by': 'year'}",,
Percentage of \Accepted + Assigned\ activities that lead to \Completed + In Call\,Percentage of 'Accepted + Assigned' out of all 'Completed + In Call',0.02,
Ratio of \Accepted + Assigned\ over \Accepted + Wait - Implementation\,Percentage of 'Accepted + Assigned' out of all 'Accepted + Wait - Implementation',0.47,
Number of times \Accepted + Assigned\ is performed before \Accepted + Wait - Vendor\,Number of 'Accepted + Assigned' activities for cases where activity 'Accepted + Wait - Vendor' occurs,197,
Percentage of \Accepted + Assigned\ activities with amounts above 100 euros,Percentage of 'Accepted + Assigned' out of all cases,0.24,
Frequency of \Accepted + Assigned\ in the most common process variant,Percentage of 'Accepted + Assigned' out of all cases,0.24,
Percentage of \Accepted + Assigned\ activities that are not dismissed,Percentage of 'Accepted + Assigned' out of all cases where 'Dismissed' does not happen,0.24,
Total \Accepted + Assigned\ activities performed by top 5 resources,"ERROR: computing metric {'count': ""activity == 'Accepted + Assigned'"", 'aggregation': 'total', 'filter': ""org:resource in ['top1', 'top2', 'top3', 'top4', 'top5']""}",,
Percentage of \Accepted + Assigned\ activities followed by any activity within 24 hours,Percentage of 'Accepted + Assigned' out of all cases,0.24,
Number of \Accepted + Assigned\ activities in cases with high impact,Number of 'Accepted + Assigned' activities == 'high' where ma is the last value of impact,,
Frequency of \Accepted + Assigned\ in cases related to \PROD582\,Percentage of 'Accepted + Assigned' out of all cases,0.62,
Percentage of \Accepted + Assigned\ activities in incidents resolved within SLA,Percentage of 'Accepted + Assigned' out of all cases,0.24,
Ratio of \Accepted + Assigned\ activities in the first quarter of the year over the fourth quarter,Percentage of 'Accepted + Assigned' out of all cases,0.24,
