Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
Frequency of 'SW-Reviewer Selection is due in 1 week' followed by 'SW-AE Assign Reviewers',Frequency of activity 'SW-Reviewer Selection is due in 1 week' for cases where activity 'SW-AE Assign Reviewers' occurs,33.0,
Percentage of manuscripts that have 'SW-Reviewer Selection is due in 1 week' before 'SW-Reviewer Agreed',Percentage of 'SW-Reviewer Selection is due in 1 week' out of all 'SW-Reviewer Agreed',0.72,
Number of times 'SW-Reviewer Selection is due in 1 week' occurs in the most frequent variant,Number of 'SW-Reviewer Selection is due in 1 week' activities,43.0,
Percentage of 'SW-Reviewer Selection is due in 1 week' out of all checklist-related activities,Percentage of 'SW-Reviewer Selection is due in 1 week' out of all 'SW-Checklist Completed',0.49,
Frequency of 'SW-Reviewer Selection is due in 1 week' in relation to 'SW-Reviewer Declined',Frequency of activity 'SW-Reviewer Selection is due in 1 week' for cases where activity 'SW-Reviewer Declined' occurs,19.0,
Percentage of 'SW-Reviewer Selection is due in 1 week' followed by any reviewer-related activity,Percentage of 'SW-Reviewer Selection is due in 1 week' out of all 'SW-AE Assign Reviewers',0.72,
Number of 'SW-Reviewer Selection is due in 1 week' activities that lead to a manuscript's acceptance,Number of 'SW-Reviewer Selection is due in 1 week' activities for cases where activity 'SW-EIC Accept' occurs,0.0,
Percentage of 'SW-Reviewer Selection is due in 1 week' in manuscripts that require major revision,Percentage of 'SW-Reviewer Selection is due in 1 week' out of all 'SW-EIC Major Revision',0.53,
Frequency of 'SW-Reviewer Selection is due in 1 week' in manuscripts that were eventually accepted,Frequency of activity 'SW-Reviewer Selection is due in 1 week' for cases where activity 'SW-EIC Accept' occurs,0.0,
Percentage of 'SW-Reviewer Selection is due in 1 week' followed by 'Reviewer Invitation Reminder 1',Percentage of 'SW-Reviewer Selection is due in 1 week' out of all 'Reviewer Invitation Reminder 1',0.66,
Number of times 'SW-Reviewer Selection is due in 1 week' is followed by 'SW-Reviewer Selection is due in 3 days',Number of 'SW-Reviewer Selection is due in 1 week' activities for cases where activity 'SW-Reviewer Selection is due in 3 days' occurs,25.0,
Percentage of 'SW-Reviewer Selection is due in 1 week' in the event log compared to 'Original Manuscript Submission Confirmation',Percentage of 'SW-Reviewer Selection is due in 1 week' out of all 'Original Manuscript Submission Confirmation',0.48,
Frequency of 'SW-Reviewer Selection is due in 1 week' in relation to all activities performed by the SYSTEM performer,Frequency of activity 'SW-Reviewer Selection is due in 1 week',39.0,
Percentage of 'SW-Reviewer Selection is due in 1 week' leading to 'SW-Awaiting EIC Decision',Percentage of 'SW-Reviewer Selection is due in 1 week' out of all 'SW-Awaiting EIC Decision',0.68,
Number of 'SW-Reviewer Selection is due in 1 week' activities that precede 'SW-EIC Reject & Resubmit',"ERROR: computing metric {'count': ""activity == 'SW-Reviewer Selection is due in 1 week'"", 'aggregation': 'total', 'filter': ""activity == 'SW-EIC Reject & Resubmit'""}",,
