Name;Metric;Value;Agrupation
Average time from SW-Reviewer Agreed to SW-EIC Reject;The average of the duration between activity 'SW-Reviewer Agreed' and activity 'SW-EIC Reject';73.21 days;
Total time between SW-Awaiting EIC Decision and SW-EIC Reject;The sum of the duration between activity 'SW-Awaiting EIC Decision' and activity 'SW-EIC Reject';11.61 days;
Minimum time it takes SW-EIC Reject to be performed after SW-Awaiting EIC Decision;The minimum of the duration between activity 'SW-Awaiting EIC Decision' and activity 'SW-EIC Reject';8.33 minutes;
Average duration of SW-EIC Reject across all process variants where it appears;The average of the duration between activity SW-EIC Reject and the end of the case;1.42 minutes;
Time elapsed from Original Manuscript Submission Confirmation to SW-EIC Reject in variants ending with SW-EIC Reject;The sum of the duration between activity Original Manuscript Submission Confirmation and activity SW-EIC Reject for cases where activity SW-EIC Reject occurs;917.59 days;
Average time between SW-Checklist Completed and SW-EIC Reject in rejected submissions;The average of the duration between activity 'SW-Checklist Completed' and activity 'SW-EIC Reject';25.43 days;
Minimum time from SW-AE Recommendation overdue to SW-EIC Reject;The minimum of the duration between activity 'SW-AE Recommendation overdue' and activity 'SW-EIC Reject';12.38 days;
Average time it takes SW-EIC Reject to occur after the first occurrence of SW-AE Assign Reviewers;The average of the duration between activity 'SW-AE Assign Reviewers' and activity 'SW-EIC Reject';76.11 days;
Elapsed time between Plagiarism Originality Report Completed and SW-EIC Reject in direct rejection paths;The sum of the duration between activity 'Plagiarism Originality Report Completed' and activity 'SW-EIC Reject';893.11 days;
Time from SW-Initial Reviewer Selection to SW-EIC Reject in cases where no reviewer ultimately agreed;The sum of the duration between activity 'SW-Initial Reviewer Selection' and activity 'SW-EIC Reject';862.98 days;
Average time between the last reminder activity (e.g., Reviewer Invitation Reminder 2) and SW-EIC Reject when reviewers failed to respond;The average of the duration between activity 'Reviewer Invitation Reminder 2' and activity 'SW-EIC Reject';139.41 days;
Total time from SW-Awaiting Checklist Completion to SW-EIC Reject in the shortest rejection variant;The sum of the duration between activity 'SW-Awaiting Checklist Completion' and activity 'SW-EIC Reject';913.70 days;
Minimum time between Manuscript Export Succeeded and SW-EIC Reject across all rejection trajectories;The minimum of the duration between activity 'Manuscript Export Succeeded' and activity 'SW-EIC Reject';3.24 hours;
Average time it takes SW-EIC Reject to be executed after SW-Awaiting AE Assignment in early-rejection cases;The average of the duration between activity 'SW-Awaiting AE Assignment' and activity 'SW-EIC Reject';19.06 days;
