Name;Metric;Value;Agrupation
Average time from 'Manuscript Export Succeeded' to 'Plagiarism Originality Report Completed';The average of the duration between activity 'Manuscript Export Succeeded' and activity 'Plagiarism Originality Report Completed';1.50 days;
Total time for all instances of 'Plagiarism Originality Report Completed';The sum of the duration between activity Plagiarism Originality Report Completed and the end of the case;9593.14 days;
Minimum time from 'Original Manuscript Submission Confirmation' to 'Plagiarism Originality Report Completed';The minimum of the duration between activity 'Original Manuscript Submission Confirmation' and activity 'Plagiarism Originality Report Completed';21.60 minutes;
Average time between 'Plagiarism Originality Report Completed' and 'SW-Checklist Completed';The average of the duration between activity 'Plagiarism Originality Report Completed' and activity 'SW-Checklist Completed';3.39 days;
Total resolution time of 'Plagiarism Originality Report Completed' in the review process;The sum of the duration between activity Plagiarism Originality Report Completed and the end of the case;9593.14 days;
Average time it takes from 'Plagiarism Originality Report Completed' to 'SW-AE Assign Reviewers';The average of the duration between activity 'Plagiarism Originality Report Completed' and activity 'SW-AE Assign Reviewers';27.13 days;
Minimum time it takes from 'Plagiarism Originality Report Completed' to 'SW-Awaiting AE Assignment';The minimum of the duration between activity 'Plagiarism Originality Report Completed' and activity 'SW-Awaiting AE Assignment';1.87 minutes;
Total time between 'Plagiarism Originality Report Completed' and 'SW-Awaiting EIC Decision';The sum of the duration between activity 'Plagiarism Originality Report Completed' and activity 'SW-Awaiting EIC Decision';3869.35 days;
Average time to complete 'Plagiarism Originality Report Completed' grouped by 'performer';The average of the duration between activity 'Plagiarism Originality Report Completed' and the end of case grouped by the last value of performer;ADMIN:193.32 days;"{""ADMIN"":16702874500,""AUTHOR"":10538729000,""EIC"":138679000,""SYSTEM"":9034391134}"
Total time from 'Plagiarism Originality Report Completed' to 'SW-Reviewer Agreed' considering the impact on the review process;The sum of the duration between activity 'Plagiarism Originality Report Completed' and activity 'SW-Reviewer Agreed';1221.70 days;
Minimum resolution time of 'Plagiarism Originality Report Completed' before 'SW-AE Assign Reviewers';The minimum of the duration between activity 'Plagiarism Originality Report Completed' and activity 'SW-AE Assign Reviewers';1.93 days;
Average waiting time to the 'SW-Reviewer Agreed' after 'Plagiarism Originality Report Completed';The average of the duration between activity 'Plagiarism Originality Report Completed' and activity 'SW-Reviewer Agreed';27.77 days;
Total time it takes 'SW-Reviewer Agreed' after the execution of 'Plagiarism Originality Report Completed';The sum of the duration between activity 'Plagiarism Originality Report Completed' and activity 'SW-Reviewer Agreed';1221.70 days;
Average time for 'Plagiarism Originality Report Completed' across all cases;The average of the duration between activity Plagiarism Originality Report Completed and the end of the case;107.79 days;
Minimum time for 'Plagiarism Originality Report Completed' to influence the next step in the review process;The minimum of the duration between activity Plagiarism Originality Report Completed and the end of the case;6.62 minutes;
