Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
Percentage of \SW-Awaiting Checklist Completion\ followed by \SW-Checklist Completed\,Percentage of 'SW-Awaiting Checklist Completion' out of all 'SW-Checklist Completed',1.0,
Number of \SW-Checklist Completed\,Number of 'SW-Checklist Completed' activities,87.0,
Percentage of \SW-Checklist Completed\ out of all \Plagiarism Originality Report Completed\,Percentage of 'SW-Checklist Completed' out of all 'Plagiarism Originality Report Completed',0.91,
Number of \SW-Checklist Completed\ that are preceded by \Manuscript Export Succeeded\,Number of 'SW-Checklist Completed' activities for cases where activity 'Manuscript Export Succeeded' occurs,87.0,
Percentage of \SW-Checklist Completed\ that lead to \SW-Awaiting AE Assignment\,Percentage of 'SW-Checklist Completed' out of all 'SW-Awaiting AE Assignment',1.0,
Percentage of \SW-Checklist Completed\ from all \Original Manuscript Submission Confirmation\,Percentage of 'SW-Checklist Completed' out of all 'Original Manuscript Submission Confirmation',0.95,
Number of \SW-Checklist Completed\ grouped by \case:concept:name\,"ERROR: computing metric {'count': ""activity == 'SW-Checklist Completed'"", 'aggregation': 'total', 'group_by': 'case:concept:name'}",,
Percentage of \SW-Checklist Completed\ by \performer\,Percentage of 'SW-Checklist Completed' out of all cases,0.88,
Number of \SW-Checklist Completed\ made per year,"ERROR: computing metric {'count': ""activity == 'SW-Checklist Completed'"", 'aggregation': 'total', 'group_by': 'year'}",,
Percentage of \SW-Checklist Completed\ that are followed by \SW-AE Assign Reviewers\,Percentage of 'SW-Checklist Completed' out of all 'SW-AE Assign Reviewers',0.96,
Average number of \SW-Checklist Completed\ in a month,"ERROR: computing metric {'count': ""activity == 'SW-Checklist Completed'"", 'aggregation': 'average', 'group_by': 'month'}",,
Total \SW-Checklist Completed\ done by \SYSTEM\,Number of 'SW-Checklist Completed' activities == 'SYSTEM' where ma is the last value of performer,81.0,
Ratio of \SW-Checklist Completed\ over \SW-Reviewer Agreed\,Percentage of 'SW-Checklist Completed' out of all 'SW-Reviewer Agreed',0.96,
Occasions how often the \SW-Checklist Completed\ is performed in relation to \SW-AE Assign Reviewers\,Percentage of 'SW-Checklist Completed' out of all 'SW-AE Assign Reviewers',0.96,
Percentage of \SW-Checklist Completed\ followed by \SW-Awaiting EIC Decision\,Percentage of 'SW-Checklist Completed' out of all 'SW-Awaiting EIC Decision',0.97,
Frequency of \SW-Checklist Completed\ in the most common process variant,Percentage of 'SW-Checklist Completed' out of all cases,0.88,
Percentage of \SW-Checklist Completed\ in cases leading to \SW-EIC Reject & Resubmit\,"ERROR: computing metric {'count': ""activity == 'SW-Checklist Completed'"", 'metric_condition': '> 0', 'aggregation': 'percentage', 'filter': ""activity == 'SW-EIC Reject & Resubmit'""}",,
Number of \SW-Checklist Completed\ in relation to \SW-EIC Major Revision\,Number of 'SW-Checklist Completed' activities for cases where activity 'SW-EIC Major Revision' occurs,16.0,
Percentage of \SW-Checklist Completed\ in submissions that require major revision before acceptance,Percentage of 'SW-Checklist Completed' out of all 'SW-EIC Major Revision',0.93,
