Name;Metric;Value;Agrupation
Percentage of 'SW-Reviewer Selection is due in 1 week' out of all activity executions in the event log;Percentage of 'SW-Reviewer Selection is due in 1 week' out of all cases;0.45;
Frequency of 'SW-Reviewer Selection is due in 1 week' occurring before 'SW-Reviewer Agreed';Percentage of 'SW-Reviewer Selection is due in 1 week' out of all 'SW-Reviewer Agreed';0.72;
Percentage of process variants where 'SW-Reviewer Selection is due in 1 week' is immediately followed by 'SW-Reviewer Selection is due in 3 days';Percentage of 'SW-Reviewer Selection is due in 1 week' out of all 'SW-Reviewer Selection is due in 3 days';1.0;
Number of times 'SW-Reviewer Selection is due in 1 week' appears in variants that eventually lead to 'SW-EIC Accept';Number of 'SW-Reviewer Selection is due in 1 week' activities for cases where activity 'SW-EIC Accept' occurs;0.0;
Percentage of 'SW-Reviewer Selection is due in 1 week' occurrences that are not followed by any reviewer agreement (i.e., no 'SW-Reviewer Agreed' thereafter in the same case);Percentage of 'SW-Reviewer Selection is due in 1 week' out of all cases where 'SW-Reviewer Agreed' does not happen;0.45;
Frequency of 'SW-Reviewer Selection is due in 1 week' compared to the frequency of 'SW-Reviewer Selection is due in 3 days';Percentage of 'SW-Reviewer Selection is due in 1 week' out of all 'SW-Reviewer Selection is due in 3 days';1.0;
Percentage of cases containing 'SW-Reviewer Selection is due in 1 week' that result in a major revision decision ('SW-EIC Major Revision');Percentage of 'SW-Reviewer Selection is due in 1 week' out of all 'SW-EIC Major Revision';0.53;
Number of variants in which 'SW-Reviewer Selection is due in 1 week' occurs more than once;Number of 'SW-Reviewer Selection is due in 1 week' activities;43.0;
Percentage of 'SW-Reviewer Selection is due in 1 week' activities that are eventually followed by 'SW-Awaiting EIC Decision';Percentage of 'SW-Reviewer Selection is due in 1 week' out of all 'SW-Awaiting EIC Decision';0.68;
Frequency of 'SW-Reviewer Selection is due in 1 week' in cases that include at least one 'SW-Reviewer Declined' activity;Percentage of 'SW-Reviewer Selection is due in 1 week' out of all 'SW-Reviewer Declined';0.66;
Percentage of all 'SW-Reviewer Selection is due in 1 week' instances that occur within the first week after 'SW-Initial Reviewer Selection';Percentage of 'SW-Reviewer Selection is due in 1 week' out of all 'SW-Initial Reviewer Selection';0.7;
Ratio of 'SW-Reviewer Selection is due in 1 week' to 'SW-Reviewer Selection is now due' across the entire log;Percentage of 'SW-Reviewer Selection is due in 1 week' out of all 'SW-Reviewer Selection is now due';1.0;
Number of times 'SW-Reviewer Selection is due in 1 week' is followed within 7 days by 'Reviewer Invitation Reminder 1';Number of 'SW-Reviewer Selection is due in 1 week' activities for cases where activity 'Reviewer Invitation Reminder 1' occurs;32.0;
Percentage of process executions where 'SW-Reviewer Selection is due in 1 week' appears but no reviewer ever agrees ('SW-Reviewer Agreed' never occurs afterward);Percentage of 'SW-Reviewer Selection is due in 1 week' out of all cases where 'SW-Reviewer Agreed' does not happen;0.45;
Frequency of 'SW-Reviewer Selection is due in 1 week' in variants that end with an acceptance ('SW-EIC Accept' or 'RW-EIC Accept') versus those that end in rejection or withdrawal;Percentage of 'SW-Reviewer Selection is due in 1 week' out of all 'SW-EIC Accept';0.0;
