Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
Frequency of \SW-Awaiting Checklist Completion\ followed by \Original Manuscript Submission Confirmation\,Frequency of activity 'SW-Awaiting Checklist Completion' for cases where activity 'Original Manuscript Submission Confirmation' occurs,85.0,
Percentage of cases starting with \SW-Awaiting Checklist Completion\ out of all cases,Percentage of 'SW-Awaiting Checklist Completion' out of all cases,0.91,
Number of times \SW-Awaiting Checklist Completion\ occurs before \Manuscript Export Succeeded\,Number of 'SW-Awaiting Checklist Completion' activities for cases where activity 'Manuscript Export Succeeded' occurs,89.0,
Percentage of \SW-Awaiting Checklist Completion\ that lead to \SW-Checklist Completed\ without \SW-Checklist Completion is due in three days\,Percentage of 'SW-Awaiting Checklist Completion' out of all 'SW-Checklist Completed',1.0,
Frequency of \SW-Awaiting Checklist Completion\ in relation to \SW-AE Assign Reviewers\,Frequency of activity 'SW-Awaiting Checklist Completion' for cases where activity 'SW-AE Assign Reviewers' occurs,44.0,
Percentage of \SW-Awaiting Checklist Completion\ followed by \Plagiarism Originality Report Completed\ within the same case,Percentage of 'SW-Awaiting Checklist Completion' out of all 'Plagiarism Originality Report Completed',0.93,
Number of variants including \SW-Awaiting Checklist Completion\ as the first activity,Number of 'SW-Awaiting Checklist Completion' activities,89.0,
Percentage of \SW-Awaiting Checklist Completion\ occurrences that are followed by any activity within 24 hours,Percentage of 'SW-Awaiting Checklist Completion' out of all cases,0.91,
Frequency of \SW-Awaiting Checklist Completion\ leading to a decision of \SW-EIC Reject\ or \SW-EIC Major Revision\,Frequency of activity 'SW-Awaiting Checklist Completion' for cases where activity 'SW-EIC Reject' occurs,33.0,
Percentage of \SW-Awaiting Checklist Completion\ that precede \Reviewer Invitation Reminder 1\,Percentage of 'SW-Awaiting Checklist Completion' out of all 'Reviewer Invitation Reminder 1',0.87,
Number of times \SW-Awaiting Checklist Completion\ is followed by \SW-Reviewer Agreed\ in the process variants,Number of 'SW-Awaiting Checklist Completion' activities for cases where activity 'SW-Reviewer Agreed' occurs,47.0,
Percentage of \SW-Awaiting Checklist Completion\ in cases that have \SW-EIC Accept\ as a final decision,Percentage of 'SW-Awaiting Checklist Completion' out of all 'SW-EIC Accept',1.0,
Frequency of \SW-Awaiting Checklist Completion\ followed by \SW-AE Assign Reviewers\ in the most common variant,Frequency of activity 'SW-Awaiting Checklist Completion' for cases where activity 'SW-AE Assign Reviewers' occurs,44.0,
Percentage of \SW-Awaiting Checklist Completion\ that do not lead to \SW-Reviewer No Response\,Percentage of 'SW-Awaiting Checklist Completion' out of all cases where 'SW-Reviewer No Response' does not happen,0.91,
Number of \SW-Awaiting Checklist Completion\ activities that are directly followed by \SW-Awaiting AE Assignment\,Number of 'SW-Awaiting Checklist Completion' activities for cases where activity 'SW-Awaiting AE Assignment' occurs,59.0,
